ETA,Year,Model,Color,Base MSRP,TSRP MSRP,Markup,Dealer Price,Shipping Status,Pre-Sold,Hold Status,VIN,Dealer,Dealer State
2024-03-09T00:00:00.000Z,2024,TRD Sport 4x2,Barcelona Red Metallic,43565,48296,0,43565,At dealer,False,Available,JTEAU5JR0R5311202,Mike Calvert Toyota,TX
2024-04-30T00:00:00.000Z,2024,TRD Sport 4x2,Ice Cap,43565,47795,0,43565,At dealer,False,Available,JTEAU5JR0R5311247,Mitchell Toyota,TX
2024-03-20T00:00:00.000Z,2024,TRD Sport 4x2,Solar Octane,43565,49030,0,43565,At dealer,False,Available,JTEAU5JR0R5311412,Toyota of Killeen,TX
2024-05-19T00:00:00.000Z,2024,TRD Sport 4x2,Ice Cap,43565,47239,0,43565,At dealer,False,Available,JTEAU5JR0R5313175,North Park Toyota of San Antonio,TX
2023-12-31T00:00:00.000Z,2024,TRD Sport 4x2,Midnight Black Metallic,43565,47347,12794,56359,At dealer,True,Available,JTEAU5JR1R5308261,Universal Toyota,TX
2023-12-29T00:00:00.000Z,2024,TRD Sport 4x2,Ice Cap,43315,46967,0,43315,At dealer,False,Available,JTEAU5JR1R5308339,Toyota of Dallas,TX
2024-03-06T00:00:00.000Z,2024,TRD Sport 4x2,Nautical Blue Metallic,43565,47436,2895,46460,At dealer,False,Available,JTEAU5JR1R5310561,Jim Norton Toyota,OK
2024-05-05T00:00:00.000Z,2024,TRD Sport 4x2,Underground,43565,45753,0,43565,At dealer,False,DealerHold,JTEAU5JR1R5312844,Doc's Toyota,MS
2024-05-18T00:00:00.000Z,2024,TRD Sport 4x2,Classic Silver Metallic,43565,47418,1895,45460,At dealer,False,Available,JTEAU5JR1R5312990,Don McGill Toyota,TX
2024-05-25T00:00:00.000Z,2024,TRD Sport 4x2,Classic Silver Metallic,43565,47529,0,43565,At dealer,False,Available,JTEAU5JR1R5313346,Fred Haas Toyota World,TX
2024-06-04T00:00:00.000Z,2024,TRD Sport 4x2,Ice Cap,43565,46498,0,43565,At dealer,True,Available,JTEAU5JR1R5313542,Family Toyota of Burleson,TX
2024-01-10T00:00:00.000Z,2024,TRD Sport 4x2,Classic Silver Metallic,43315,47304,0,43315,At dealer,False,,JTEAU5JR2R5307619,Hendrick Toyota Apex,NC
2024-02-12T00:00:00.000Z,2024,TRD Sport 4x2,Ice Cap,43565,46724,0,43565,L,False,Available,JTEAU5JR2R5308897,Doral Toyota,FL
2024-03-10T00:00:00.000Z,2024,TRD Sport 4x2,Ice Cap,43565,47771,0,43565,At dealer,False,Available,JTEAU5JR2R5311184,Four Stars Toyota,OK
2024-05-25T00:00:00.000Z,2024,TRD Sport 4x2,Nautical Blue Metallic,43565,47239,0,43565,At dealer,False,Available,JTEAU5JR2R5312948,AutoNation Toyota Corpus Christi,TX
2024-06-11T00:00:00.000Z,2024,TRD Sport 4x2,Classic Silver Metallic,43565,47811,1695,45260,Factory to port,False,Available,JTEAU5JR2R5313873,Keating Toyota,TX
2024-06-11T00:00:00.000Z,2024,TRD Sport 4x2,Nautical Blue Metallic,43565,47218,0,43565,Factory to port,False,Available,JTEAU5JR2R5314456,Team Toyota,LA
2024-03-21T00:00:00.000Z,2024,TRD Sport 4x2,Midnight Black Metallic,43565,45866,0,43565,At dealer,False,Available,JTEAU5JR3R5311257,Jim Hudson Toyota,SC
2024-05-20T00:00:00.000Z,2024,TRD Sport 4x2,Underground,43565,46698,599,44164,At dealer,False,Available,JTEAU5JR3R5313073,Landers Toyota,AR
