ETA,Year,Model,Color,Base MSRP,TSRP MSRP,Markup,Dealer Price,Shipping Status,Pre-Sold,Hold Status,VIN,Dealer,Dealer State
2024-09-30,2024,AT RWD,Track bRED,30400,35839,0,30400,Factory to port,False,,JF1ZNBB10R8760315,Fitzgerald Toyota Gaithersburg,MD
2024-09-27,2024,AT RWD,Raven,30400,31983,0,30400,Port to dealer,False,DealerHold,JF1ZNBB10R8760489,Freeway Toyota of Hanford,CA
2024-09-27,2024,AT RWD,Halo,30400,35072,0,30400,Port to dealer,False,,JF1ZNBB10R8760797,Modesto Toyota,CA
2024-11-02,2024,AT RWD,Halo,30400,32407,0,30400,Factory to port,False,,JF1ZNBB10R8761299,Toyota of The Desert,CA
2024-04-20,2024,MT RWD,Steel,29300,32708,0,29300,At dealer,False,DealerHold,JF1ZNBB10R9752984,DARCARS Toyota,MD
2024-09-13,2024,MT RWD,Halo,29300,35058,0,29300,At dealer,False,Available,JF1ZNBB10R9759630,Fitzgerald Toyota Gaithersburg,MD
2024-09-12,2024,MT RWD,Track bRED,29300,31149,0,29300,At dealer,False,,JF1ZNBB10R9759871,Precision Toyota of Tucson,AZ
2024-10-04,2024,MT RWD,Halo,29300,32849,0,29300,Port to dealer,False,,JF1ZNBB10R9760034,Toyota of Gladstone,OR
2024-09-30,2024,MT RWD,Pavement,29300,31116,0,29300,Factory to port,True,DealerHold,JF1ZNBB10R9760051,Ira Toyota,MA
2024-09-09,2024,MT RWD,Raven,29300,30973,0,29300,At dealer,False,,JF1ZNBB10R9760132,Toyota of Gladstone,OR
2024-10-03,2024,MT RWD,Raven,29300,30973,999,30299,Port to dealer,False,Available,JF1ZNBB10R9760261,Earnhardt Toyota,AZ
2024-09-30,2024,MT RWD,Pavement,29300,30972,0,29300,Factory to port,False,DealerHold,JF1ZNBB10R9760325,Herb Chambers Toyota of Auburn,MA
2024-10-15,2024,MT RWD,Trueno Blue,29300,30778,0,29300,Factory to port,False,,JF1ZNBB10R9760518,Basil Toyota,NY
2024-10-06T04:00:00.000Z,2024,MT RWD,Halo,29300,34376,0,29300,Factory to port,False,Available,JF1ZNBB10R9760566,Serra Toyota of Decatur,AL
2024-10-29,2024,MT RWD,Track bRED,29300,31857,0,29300,Factory to port,False,,JF1ZNBB10R9760714,Hartford Toyota,CT
2024-10-30,2024,MT RWD,Halo,29300,31149,0,29300,Factory to port,False,,JF1ZNBB10R9760731,Shelor Toyota,VA
2024-10-20,2024,MT RWD,Trueno Blue,29300,30724,0,29300,Factory to port,False,,JF1ZNBB10R9760888,Marysville Toyota,WA
2024-10-20T00:00:00.000Z,2024,MT RWD,Raven,29300,31912,1198,30498,Factory to port,False,Available,JF1ZNBB10R9760986,Karl Malone Toyota of Ruston,LA
2024-11-12,2024,MT RWD,Track bRED,29300,32296,0,29300,Factory to port,False,DealerHold,JF1ZNBB10R9761104,Autoland Toyota,NJ
2024-11-05,2024,MT RWD,Raven,29300,31183,0,29300,Factory to port,False,,JF1ZNBB10R9761328,Lithia Toyota,OR
2024-10-30,2024,MT RWD,Pavement,29300,30953,995,30295,Factory to port,False,,JF1ZNBB10R9761331,Toyota of Berkeley,CA
2024-11-17,2024,MT RWD,Track bRED,29300,31264,499,29799,Factory to port,False,,JF1ZNBB11R139CV63,Toyota of Lompoc,CA
2024-08-15,2024,AT RWD,Trueno Blue,30400,36184,0,30400,At dealer,False,DealerHold,JF1ZNBB11R8759447,Battlefield Toyota,VA
2024-09-28,2024,AT RWD,Halo,30400,34817,0,30400,Port to dealer,False,DealerHold,JF1ZNBB11R8759898,Manhattan Beach Toyota,CA
