ETA,Year,Model,Color,Base MSRP,TSRP MSRP,Markup,Dealer Price,Shipping Status,Pre-Sold,Hold Status,VIN,Dealer,Dealer State
2024-11-04,2024,XLE FWD,Black,43070,45274,0,43070,Factory to port,False,,JTMAAAAA0R136CQ56,Capistrano Valley Toyota,CA
2024-10-27,2024,XLE FWD,Supersonic Red,43070,45854,0,43070,Factory to port,False,,JTMAAAAA0R136CQ87,Longo Toyota,CA
2024-10-25,2024,XLE FWD,Wind Chill Pearl,43070,46439,395,43465,Factory to port,False,,JTMAAAAA0R136CY08,Toyota 101,CA
Unknown,2024,XLE FWD,Wind Chill Pearl,43070,46548,0,43070,Factory to port,False,,JTMAAAAA0R137CS68,Toyota of El Cajon,CA
2024-11-04,2024,XLE FWD,Wind Chill Pearl,43070,45854,4119,47189,Factory to port,False,,JTMAAAAA0R137CS71,Claremont Toyota,CA
2024-11-04,2024,XLE FWD,Heavy Metal,43070,47063,0,43070,Factory to port,False,,JTMAAAAA0R137CS85,Toyota of El Cajon,CA
2024-10-30,2024,XLE FWD,Wind Chill Pearl,43070,45199,995,44065,Factory to port,False,,JTMAAAAA0R137DA93,Toyota Town,CA
2024-05-28T00:00:00.000Z,2024,XLE FWD,Elemental Silver Metallic,43070,46544,0,43070,At dealer,False,Available,JTMAAAAA0RA036695,Yokem Toyota,LA
2024-06-23,2024,XLE FWD,Supersonic Red,43070,46134,0,43070,At dealer,False,Available,JTMAAAAA0RA037670,Germain Toyota of Columbus,OH
2024-07-08T00:00:00.000Z,2024,XLE FWD,Wind Chill Pearl,43070,47453,0,43070,At dealer,False,Available,JTMAAAAA0RA039354,Fred Haas Toyota World,TX
2024-07-27T04:00:00.000Z,2024,XLE FWD,Elemental Silver Metallic,43070,44845,0,43070,At dealer,False,,JTMAAAAA0RA039872,AutoNation Toyota Pinellas Park,FL
2024-07-30T04:00:00.000Z,2024,Limited FWD,Black,47180,49727,0,47180,At dealer,False,Available,JTMAAAAA0RA040245,Massey Toyota,NC
2024-09-21T04:00:00.000Z,2024,XLE FWD,Elemental Silver Metallic,43070,45339,0,43070,Factory to port,False,DealerHold,JTMAAAAA0RA040567,"Riverside Toyota, Inc.",GA
2024-10-07T00:00:00.000Z,2024,XLE FWD,Supersonic Red,43070,46373,1695,44765,Factory to port,False,Available,JTMAAAAA0RA040584,Keating Toyota,TX
2024-08-20T00:00:00.000Z,2024,XLE FWD,Supersonic Red,43070,46153,0,43070,At dealer,False,Available,JTMAAAAA0RA042500,Toyota of Hattiesburg,MS
2024-08-24,2024,XLE FWD,Wind Chill Pearl,43070,45854,0,43070,At dealer,False,,JTMAAAAA0RA043114,Santa Margarita Toyota,CA
