Year,Model,Color,Base MSRP,TSRP MSRP,Markup,Dealer Price,Shipping Status,Pre-Sold,Hold Status,VIN,Dealer,Dealer State
2024,LE FWD,Celestial Silver Metallic,26420,27889,0,26420,Factory to port,False,,4T1C11AK0RU12C279,Bill Page Toyota,VA
2024,LE FWD,Predawn Gray Mica,26420,29409,0,26420,Factory to port,False,,4T1C11AK0RU12E937,Toyota World of Newton,NJ
2024,LE FWD,Ice Cap,26420,28692,0,26420,Factory to port,False,,4T1C11AK0RU12F005,AutoNation Toyota Buena Park,CA
2024,LE FWD,Celestial Silver Metallic,26420,28063,299,26719,Factory to port,False,,4T1C11AK0RU12F053,Magnussen's Toyota of Palo Alto,CA
2024,LE FWD,Predawn Gray Mica,26420,28267,0,26420,Factory to port,False,,4T1C11AK0RU12F165,Madera Toyota,CA
2024,LE FWD,Predawn Gray Mica,26420,29350,0,26420,Factory to port,False,Available,4T1C11AK0RU13A026,Toyota of Easley,SC
2024,LE FWD,Midnight Black Metallic,26420,28063,895,27315,Factory to port,False,,4T1C11AK0RU13A172,Merced Toyota,CA
2024,LE FWD,Predawn Gray Mica,26420,28236,0,26420,Factory to port,False,,4T1C11AK0RU13A656,Avondale Toyota,AZ
2024,LE FWD,Celestial Silver Metallic,26420,28086,0,26420,Factory to port,False,,4T1C11AK0RU13B757,Avondale Toyota,AZ
2024,LE FWD,Celestial Silver Metallic,26420,28342,0,26420,Factory to port,False,,4T1C11AK0RU13B760,Findlay Toyota Flagstaff,AZ
2024,LE FWD,Ice Edge,26420,28082,0,26420,Factory to port,False,,4T1C11AK0RU13C410,Claremont Toyota,CA
2024,LE FWD,Predawn Gray Mica,26420,28938,0,26420,Factory to port,False,,4T1C11AK0RU13C505,Firelands Toyota,OH
2024,LE FWD,Midnight Black Metallic,26420,28237,0,26420,Factory to port,False,,4T1C11AK0RU13D024,Claremont Toyota,CA
2024,LE FWD,Celestial Silver Metallic,26420,28167,0,26420,Factory to port,False,,4T1C11AK0RU13D041,Claremont Toyota,CA
2024,LE FWD,Predawn Gray Mica,26420,28098,0,26420,Factory to port,False,,4T1C11AK0RU13D119,Metro Toyota,MI
2024,LE FWD,Ice Edge,26420,28942,0,26420,Factory to port,False,,4T1C11AK0RU13E285,Claremont Toyota,CA
2024,LE FWD,Ice Edge,26420,27515,0,26420,Factory to port,False,Available,4T1C11AK0RU13E321,Lugoff Toyota,SC
