ETA,Year,Model,Color,Base MSRP,TSRP MSRP,Markup,Dealer Price,Shipping Status,Pre-Sold,Hold Status,VIN,Dealer,Dealer State
2024-03-28,2024,Camry LE Hybrid FWD,Supersonic Red,28855,30899,0,28855,At dealer,False,DealerHold,4T1C31AK0RU078600,Copeland Toyota,MA
2024-04-04,2024,Camry LE Hybrid FWD,Supersonic Red,28855,32243,0,28855,At dealer,False,DealerHold,4T1C31AK0RU078905,Holman Toyota,NJ
2024-04-09,2024,Camry LE Hybrid FWD,Supersonic Red,28855,31659,0,28855,Port to dealer,True,DealerHold,4T1C31AK0RU079035,DCH Brunswick Toyota,NJ
2024-05-02,2024,Camry LE Hybrid FWD,Midnight Black Metallic,28855,31277,0,28855,Factory to port,False,,4T1C31AK0RU14E096,Toyota of Runnemede,NJ
2024-04-21,2024,Camry LE Hybrid FWD,Predawn Gray Mica,28855,31694,0,28855,Port to dealer,False,DealerHold,4T1C31AK0RU630693,Toyota of Nashua,NH
2024-03-26,2024,Camry LE Hybrid FWD,Celestial Silver Metallic,28855,30628,0,28855,At dealer,False,DealerHold,4T1C31AK0RU630869,Bill Page Toyota,VA
2024-04-07,2024,Camry LE Hybrid FWD,Ice Cap,28855,31307,2494,31349,Port to dealer,False,DealerHold,4T1C31AK0RU631200,Envision Toyota of West Covina,CA
2024-04-08,2024,Camry LE Hybrid FWD,Midnight Black Metallic,28855,31153,0,28855,Port to dealer,True,DealerHold,4T1C31AK0RU631410,Culver City Toyota,CA
2024-04-05,2024,Camry LE Hybrid FWD,Celestial Silver Metallic,28855,31457,0,28855,At dealer,True,Available,4T1C31AK0RU631505,Team Toyota of Princeton,NJ
2024-04-08,2024,Camry LE Hybrid FWD,Predawn Gray Mica,28855,32137,0,28855,Port to dealer,False,,4T1C31AK0RU631584,Antwerpen's Toyota,MD
2024-04-08,2024,Camry LE Hybrid FWD,Celestial Silver Metallic,28855,31084,0,28855,Port to dealer,False,DealerHold,4T1C31AK0RU631603,Parkway Toyota,NJ
2024-04-24,2024,Camry LE Hybrid FWD,Predawn Gray Mica,28855,31307,0,28855,Port to dealer,True,DealerHold,4T1C31AK0RU631617,Toyota of Anaheim,CA
2024-04-10,2024,Camry LE Hybrid FWD,Ice Cap,28855,31079,0,28855,Port to dealer,False,DealerHold,4T1C31AK0RU631696,Colonial Toyota,CT
2024-04-27,2024,Camry LE Hybrid FWD,Midnight Black Metallic,28855,30343,0,28855,Port to dealer,False,,4T1C31AK0RU631701,Toyota of Downtown LA,CA
2024-04-18,2024,Camry LE Hybrid FWD,Ice Cap,28855,30473,0,28855,Port to dealer,False,DealerHold,4T1C31AK0RU631777,Heritage Toyota Catonsville,MD
2024-04-18,2024,Camry LE Hybrid FWD,Midnight Black Metallic,28855,31127,0,28855,Port to dealer,False,,4T1C31AK0RU631780,Hillside Toyota,NY
2024-04-30,2024,Camry LE Hybrid FWD,Ice Cap,28855,31173,0,28855,Port to dealer,False,,4T1C31AK0RU631939,North Bakersfield Toyota,CA
2024-04-30,2024,Camry LE Hybrid FWD,Predawn Gray Mica,28855,30929,0,28855,Port to dealer,True,Available,4T1C31AK0RU631942,Penske Toyota,CA
2024-04-22,2024,Camry LE Hybrid FWD,Midnight Black Metallic,28855,31277,0,28855,Port to dealer,False,DealerHold,4T1C31AK0RU632069,Galaxy Toyota,NJ
2024-04-22,2024,Camry LE Hybrid FWD,Midnight Black Metallic,28855,31277,1790,30645,Port to dealer,True,DealerHold,4T1C31AK0RU632072,Shore Toyota,NJ
2024-05-03,2024,Camry LE Hybrid FWD,Predawn Gray Mica,28855,31377,0,28855,Port to dealer,False,DealerHold,4T1C31AK0RU632234,Manhattan Beach Toyota,CA
