ETA,Year,Model,Color,Base MSRP,TSRP MSRP,Markup,Dealer Price,Shipping Status,Pre-Sold,Hold Status,VIN,Dealer,Dealer State
2024-05-15,2024,L FWD,Wind Chill Pearl,23860,25924,0,23860,At dealer,False,DealerHold,7MUAAAAG0RV090950,Toyota Walnut Creek,CA
2024-05-07,2024,L FWD,Wind Chill Pearl,23860,26594,0,23860,At dealer,False,,7MUAAAAG0RV091211,Jerry's Toyota,MD
2024-05-20T00:00:00.000Z,2024,L FWD,Celestite,23860,25937,0,23860,At dealer,False,,7MUAAAAG0RV092696,LaGrange Toyota,GA
2024-05-25,2024,L FWD,Sonic Silver,23860,25499,570,24430,At dealer,False,Available,7MUAAAAG0RV092701,Hanlees Hilltop Toyota,CA
2024-06-04,2024,L FWD,Wind Chill Pearl,23860,25924,0,23860,At dealer,False,,7MUAAAAG0RV092763,Moses Toyota,WV
2024-06-03,2024,L FWD,Wind Chill Pearl,23860,25924,0,23860,At dealer,False,,7MUAAAAG0RV093699,AutoNation Toyota Hayward,CA
2024-05-25T00:00:00.000Z,2024,L FWD,Jet Black,23860,26575,0,23860,At dealer,False,Available,7MUAAAAG0RV093962,Carl Hogan Toyota,MS
2024-05-26T00:00:00.000Z,2024,L FWD,Sonic Silver,23860,26017,0,23860,At dealer,False,Available,7MUAAAAG0RV094156,Doc's Toyota,MS
2024-06-04,2024,L FWD,Celestite,23860,25863,0,23860,At dealer,False,Available,7MUAAAAG0RV094402,Romeo Toyota of Glens Falls,NY
2024-06-04,2024,L FWD,Jet Black,23860,26328,0,23860,At dealer,False,,7MUAAAAG0RV094416,DARCARS Toyota of Baltimore,MD
2024-06-10,2024,L FWD,Celestite,23860,25983,0,23860,Port to dealer,False,,7MUAAAAG0RV094478,Gloucester Toyota,VA
2024-06-09T00:00:00.000Z,2024,L FWD,Sonic Silver,23860,26117,0,23860,At dealer,False,Available,7MUAAAAG0RV094609,Jim Hudson Toyota,SC
2024-05-27T00:00:00.000Z,2024,L FWD,Celestite,23860,26017,1599,25459,At dealer,True,DealerHold,7MUAAAAG0RV094612,Fowler Toyota,OK
2024-06-03,2024,L FWD,Jet Black,23860,25499,0,23860,At dealer,False,,7MUAAAAG0RV094870,Bill Dube Toyota,NH
2024-06-06T00:00:00.000Z,2024,L FWD,Jet Black,23860,26328,0,23860,At dealer,False,Available,7MUAAAAG0RV095078,Nalley Toyota Union City,GA
2024-06-09,2024,L FWD,Wind Chill Pearl,23860,26568,0,23860,Port to dealer,False,DealerHold,7MUAAAAG0RV095212,Sheehy Toyota of Laurel,MD
2024-06-03T00:00:00.000Z,2024,L FWD,Sonic Silver,23860,26575,0,23860,Factory to port,False,Available,7MUAAAAG0RV095257,Carlock Toyota of Tupelo,MS
2024-06-12T00:00:00.000Z,2024,L FWD,Sonic Silver,23860,25709,0,23860,Port to dealer,False,DealerHold,7MUAAAAG0RV095484,Toyota of Hollywood,FL
2024-06-20,2024,L FWD,Celestite,23860,25499,0,23860,Port to dealer,False,DealerHold,7MUAAAAG0RV095520,355 Toyota,MD
2024-06-23,2024,L FWD,Celestite,23860,26142,0,23860,Port to dealer,False,DealerHold,7MUAAAAG0RV095579,Toyota of Smithfield,RI
2024-06-09T00:00:00.000Z,2024,L FWD,Wind Chill Pearl,23860,26832,0,23860,At dealer,False,Available,7MUAAAAG0RV095632,Serra Toyota,AL
2024-06-24,2024,L FWD,Wind Chill Pearl,23860,25924,0,23860,Port to dealer,False,DealerHold,7MUAAAAG0RV095906,Bill Page Toyota,VA
2024-06-16T00:00:00.000Z,2024,L FWD,Celestite,23860,26407,0,23860,Factory to port,False,Available,7MUAAAAG0RV096019,Stokes Toyota Hilton Head,SC
2024-06-18T00:00:00.000Z,2024,L FWD,Celestite,23860,26586,0,23860,Factory to port,False,Available,7MUAAAAG0RV096098,Germain Toyota of Naples,FL
2024-06-18T00:00:00.000Z,2024,L FWD,Wind Chill Pearl,23860,26054,0,23860,Factory to port,False,Available,7MUAAAAG0RV096165,AutoNation Toyota Winter Park,FL
2024-06-26,2024,L FWD,Celestite,23860,26189,0,23860,Port to dealer,False,,7MUAAAAG0RV096232,Jerry's Toyota,MD
2024-06-19T00:00:00.000Z,2024,L FWD,Sonic Silver,23860,26088,0,23860,Factory to port,False,Available,7MUAAAAG0RV096277,AutoNation Toyota Weston,FL
2024-06-19T00:00:00.000Z,2024,L FWD,Celestite,23860,26407,0,23860,Factory to port,False,Available,7MUAAAAG0RV096294,Palm Beach Toyota,FL
2024-06-24,2024,L FWD,Wind Chill Pearl,23860,26297,0,23860,Port to dealer,False,,7MUAAAAG0RV096330,Faulkner Toyota,PA
2024-06-22T00:00:00.000Z,2024,L FWD,Sonic Silver,23860,26407,0,23860,Factory to port,False,DealerHold,7MUAAAAG0RV096358,Palm Beach Toyota,FL
2024-06-30,2024,L FWD,Celestite,23860,25499,0,23860,Port to dealer,False,,7MUAAAAG0RV096389,Shelor Toyota,VA
