ETA,Year,Model,Color,Base MSRP,TSRP MSRP,Markup,Dealer Price,Shipping Status,Pre-Sold,Hold Status,VIN,Dealer,Dealer State
2024-02-09T00:00:00.000Z,2024,Nightshade AWD,Jet Black,30465,33077,0,30465,At dealer,False,Available,7MUFBABG0RV024593,Shottenkirk Toyota Granbury,TX
2024-03-22,2024,XSE AWD,Blue Crush Metallic,31405,34983,0,31405,At dealer,True,DealerHold,7MUFBABG0RV026957,Denny Menholt Toyota,SD
2024-05-07,2024,Nightshade AWD,Celestite/Jet Black Roof,30465,34369,0,30465,At dealer,False,Available,7MUFBABG0RV027414,Toyota of Anaheim,CA
2024-03-12,2024,SE AWD,Jet Black,29540,33822,0,29540,At dealer,False,Available,7MUFBABG0RV028482,Northtown Toyota,NY
2024-05-20,2024,S AWD,Celestite,28220,30777,0,28220,Port to dealer,True,Available,7MUFBABG0RV028904,Lake Country Toyota,MN
2024-03-20,2024,SE AWD,Jet Black,29540,33723,2190,31730,At dealer,False,,7MUFBABG0RV029972,Sansone Toyota,NJ
2024-03-28T00:00:00.000Z,2024,S AWD,Jet Black,28220,31739,1795,30015,At dealer,False,Available,7MUFBABG0RV030071,Universal Toyota,TX
2024-03-21T00:00:00.000Z,2024,SE AWD,Wind Chill Pearl,29540,33405,0,29540,At dealer,False,Available,7MUFBABG0RV030099,Sterling McCall Toyota Fort Bend,TX
2024-03-28T00:00:00.000Z,2024,SE AWD,Sonic Silver/Jet Black roof,29540,33378,0,29540,At dealer,False,Available,7MUFBABG0RV030183,Kendall Toyota,FL
2024-03-30,2024,XSE AWD,Sonic Silver,31405,35179,0,31405,At dealer,False,Available,7MUFBABG0RV030295,Berglund Toyota,VA
2024-04-02,2024,XSE AWD,Wind Chill Pearl,31405,35773,0,31405,At dealer,False,DealerHold,7MUFBABG0RV030894,Heritage Toyota Catonsville,MD
2024-05-01,2024,SE AWD,Sonic Silver,29540,32449,0,29540,At dealer,False,DealerHold,7MUFBABG0RV031768,Toyota of Pullman,WA
2024-04-22,2024,SE AWD,Wind Chill Pearl,29540,33729,0,29540,At dealer,False,DealerHold,7MUFBABG0RV032130,West Herr Toyota of Williamsville,NY
2024-04-27,2024,SE AWD,Sonic Silver,29540,31830,0,29540,At dealer,False,Available,7MUFBABG0RV032175,Capitol Toyota of Salem,OR
2024-04-14T00:00:00.000Z,2024,XSE AWD,Sonic Silver/Jet Black roof,31405,35074,0,31405,At dealer,False,Available,7MUFBABG0RV032323,Tuscaloosa Toyota,AL
2024-04-07T00:00:00.000Z,2024,SE AWD,Sonic Silver,29540,33379,1795,31335,At dealer,False,Available,7MUFBABG0RV032452,Universal Toyota,TX
2024-05-13,2024,XSE AWD,Sonic Silver,31405,36717,0,31405,Port to dealer,False,,7MUFBABG0RV032550,Toyota of Glendale,CA
2024-04-12,2024,SE AWD,Blue Crush Metallic/Jet Black roof,29540,34313,599,30139,At dealer,False,Available,7MUFBABG0RV032788,Hudson Toyota,NJ
2024-04-30,2024,SE AWD,Wind Chill Pearl,29540,33024,0,29540,At dealer,False,Available,7MUFBABG0RV033181,Lithia Toyota of Missoula,MT
2024-04-23T00:00:00.000Z,2024,SE AWD,Sonic Silver/Jet Black roof,29540,35145,1495,31035,At dealer,False,,7MUFBABG0RV033388,Stone Mountain Toyota,GA
2024-04-14T00:00:00.000Z,2024,Nightshade AWD,Jet Black,30465,32931,0,30465,At dealer,False,DealerHold,7MUFBABG0RV033438,Classic Toyota Galveston,TX
2024-04-27T00:00:00.000Z,2024,SE AWD,Celestite,29540,33180,0,29540,At dealer,False,Available,7MUFBABG0RV033472,San Marcos Toyota,TX
2024-04-28,2024,Nightshade AWD,Jet Black,30465,34399,399,30864,At dealer,False,Available,7MUFBABG0RV033553,Bommarito Toyota,MO
2024-04-24,2024,XSE AWD,Barcelona Red Metallic/Jet Black roof,31405,36209,0,31405,At dealer,False,DealerHold,7MUFBABG0RV033701,West Herr Toyota of Canandaigua,NY
2024-05-17,2024,XSE AWD,Wind Chill Pearl,31405,37108,0,31405,Port to dealer,False,DealerHold,7MUFBABG0RV033813,Peterson Toyota,ID
2024-04-19T00:00:00.000Z,2024,SE AWD,Celestite,29540,33180,0,29540,At dealer,False,Available,7MUFBABG0RV033844,Greg Leblanc Toyota,LA
Unknown,2024,XSE AWD,Wind Chill Pearl,31405,36618,0,31405,Factory to port,True,DealerHold,7MUFBABG0RV033889,Romano Toyota,NY
2024-04-19T00:00:00.000Z,2024,SE AWD,Sonic Silver,29540,33180,0,29540,At dealer,False,Available,7MUFBABG0RV033939,Family Toyota of Arlington,TX
2024-04-21T00:00:00.000Z,2024,SE AWD,Celestite,29540,33380,0,29540,At dealer,False,Available,7MUFBABG0RV034024,Toyota of Denton,TX
2024-05-08,2024,SE AWD,Celestite,29540,33809,0,29540,At dealer,True,DealerHold,7MUFBABG0RV034038,Folsom Lake Toyota,CA
2024-05-08,2024,XSE AWD,Acidic Blast/Jet Black roof,31405,35518,0,31405,At dealer,False,,7MUFBABG0RV034069,Claremont Toyota,CA
2024-05-08,2024,SE AWD,Celestite,29540,32630,0,29540,At dealer,True,DealerHold,7MUFBABG0RV034203,Groove Toyota,CO
2024-04-27T00:00:00.000Z,2024,SE AWD,Celestite,29540,33180,0,29540,At dealer,True,Available,7MUFBABG0RV034265,Supreme Toyota of Hammond,LA
2024-05-02,2024,XSE AWD,Wind Chill Pearl,31405,35523,0,31405,At dealer,False,Available,7MUFBABG0RV034315,Freeman Toyota,CA
2024-04-21T00:00:00.000Z,2024,XSE AWD,Sonic Silver,31405,37025,0,31405,At dealer,False,Available,7MUFBABG0RV034394,Toyota of Cedar Park,TX
2024-05-20,2024,S AWD,Jet Black,28220,29570,0,28220,Port to dealer,False,DealerHold,7MUFBABG0RV034444,Markquart Toyota,WI
2024-05-07,2024,XSE AWD,Jet Black,31405,36909,599,32004,At dealer,False,,7MUFBABG0RV034461,Hudson Toyota,NJ
2024-05-16,2024,XSE AWD,Sonic Silver/Jet Black roof,31405,34874,0,31405,Port to dealer,False,DealerHold,7MUFBABG0RV034489,Toyota of Olympia,WA
2024-05-09,2024,SE AWD,Wind Chill Pearl,29540,33344,0,29540,At dealer,False,DealerHold,7MUFBABG0RV034508,Hatch Toyota,AZ
2024-05-07,2024,SE AWD,Sonic Silver/Jet Black roof,29540,33104,0,29540,At dealer,False,DealerHold,7MUFBABG0RV034525,Warrenton Toyota,VA
2024-05-13,2024,XSE AWD,Wind Chill Pearl,31405,33708,0,31405,Port to dealer,True,DealerHold,7MUFBABG0RV034671,Culver City Toyota,CA
2024-04-25,2024,SE AWD,Jet Black,29540,33478,0,29540,At dealer,False,,7MUFBABG0RV034721,Royal South Toyota,IN
2024-05-02,2024,S AWD,Sonic Silver,28220,30232,0,28220,At dealer,False,,7MUFBABG0RV034735,Conicelli Toyota,PA
2024-05-01,2024,S AWD,Jet Black,28220,30009,0,28220,At dealer,False,Available,7MUFBABG0RV034752,Millennium Toyota,NY
