ETA,Year,Model,Color,Base MSRP,TSRP MSRP,Markup,Dealer Price,Shipping Status,Pre-Sold,Hold Status,VIN,Dealer,Dealer State
2024-01-11,2024,XSE FWD,Magnetic Gray Metallic,26655,28439,0,26655,At dealer,False,,JTNC4MBE0R3220876,Iron Trail Toyota,MN
2024-01-30,2024,XSE FWD,Wind Chill Pearl,26655,29107,0,26655,At dealer,False,,JTNC4MBE0R3222837,Nelson Toyota,VA
2024-02-07,2024,XSE FWD,Wind Chill Pearl,26655,28843,0,26655,At dealer,False,Available,JTNC4MBE0R3223597,Fox Toyota,MI
2024-02-28,2024,XSE FWD,Wind Chill Pearl,26655,29442,0,26655,At dealer,False,,JTNC4MBE0R3224006,Dan Hecht Chevrolet/Toyota,IL
2024-02-29,2024,XSE FWD,Wind Chill Pearl,26655,28963,0,26655,At dealer,False,Available,JTNC4MBE0R3224880,New Country Toyota of Clifton Park,NY
2024-04-20,2024,XSE FWD,Inferno,26805,28982,0,26805,Port to dealer,False,,JTNC4MBE0R3225897,Victory Toyota of Midtown,IL
2024-03-28,2024,XSE FWD,Wind Chill Pearl with Midnight Black Metallic roof,26805,29992,0,26805,At dealer,False,,JTNC4MBE0R3226287,"Fort Dodge Ford, Lincoln, Toyota",IA
2024-03-18,2024,XSE FWD,Midnight Black Metallic,26805,28189,0,26805,At dealer,False,,JTNC4MBE0R3226872,Toyota of Hackensack,NJ
2024-03-25T00:00:00.000Z,2024,XSE FWD,Magnetic Gray Metallic,26805,29161,0,26805,At dealer,False,Available,JTNC4MBE0R3227083,Toyota of Rockwall,TX
Unknown,2024,XSE FWD,Wind Chill Pearl with Midnight Black Metallic roof,26805,29507,0,26805,Port to dealer,False,,JTNC4MBE0R3227648,John Weiss' Toyota of South County,MO
2024-03-12,2024,XSE FWD,Midnight Black Metallic,26805,28514,0,26805,At dealer,False,,JTNC4MBE0R3227729,Marysville Toyota,WA
2024-03-23T00:00:00.000Z,2024,XSE FWD,Finish Line Red,26805,29258,0,26805,At dealer,False,Available,JTNC4MBE0R3227780,Toyota of Cedar Park,TX
2024-03-28,2024,XSE FWD,Magnetic Gray Metallic with Midnight Black Metallic roof,26805,29043,0,26805,At dealer,False,,JTNC4MBE0R3227889,Buckhannon Toyota,WV
2024-04-08,2024,XSE FWD,Magnetic Gray Metallic,26805,28368,0,26805,Port to dealer,False,DealerHold,JTNC4MBE0R3228055,Warrenton Toyota,VA
2024-03-30,2024,XSE FWD,Classic Silver Metallic with Midnight Black Metallic roof,26805,29531,0,26805,At dealer,False,,JTNC4MBE0R3228069,Hamer Toyota,CA
2024-04-04,2024,XSE FWD,Wind Chill Pearl with Midnight Black Metallic roof,26805,29114,0,26805,At dealer,False,Available,JTNC4MBE0R3228282,Hoffman Toyota,CT
2024-03-26T00:00:00.000Z,2024,XSE FWD,Midnight Black Metallic,26805,29695,1495,28300,At dealer,False,Available,JTNC4MBE0R3228668,Cavender Toyota,TX
2024-04-23,2024,XSE FWD,Wind Chill Pearl with Midnight Black Metallic roof,26805,29114,0,26805,Port to dealer,False,DealerHold,JTNC4MBE0R3228735,Haley Toyota,VA
2024-04-13T00:00:00.000Z,2024,XSE FWD,Classic Silver Metallic,26805,29894,0,26805,Port to dealer,False,Available,JTNC4MBE0R3228749,Griffin Toyota,NC
2024-04-23,2024,XSE FWD,Finish Line Red with Midnight Black Metallic roof,26805,29443,0,26805,Factory to port,False,,JTNC4MBE0R3228850,Performance Motors Toyota,PA
2024-05-01,2024,XSE FWD,Finish Line Red,26805,29238,0,26805,Port to dealer,False,,JTNC4MBE0R3228895,Toyota of Bowling Green,KY
2024-04-01,2024,XSE FWD,Magnetic Gray Metallic with Midnight Black Metallic roof,26805,28689,0,26805,At dealer,False,,JTNC4MBE0R3228914,San Francisco Toyota,CA
2024-06-13,2024,XSE FWD,Finish Line Red with Midnight Black Metallic roof,26805,29774,0,26805,Port to dealer,False,,JTNC4MBE0R3228959,Seeger Toyota of St. Robert,MO
2024-04-02,2024,XSE FWD,Finish Line Red with Midnight Black Metallic roof,26805,29547,0,26805,At dealer,False,,JTNC4MBE0R3229013,Toyota of San Bernardino,CA
2024-04-10,2024,XSE FWD,Midnight Black Metallic,26805,28339,698,27503,Port to dealer,False,,JTNC4MBE0R3229089,Toyota of Renton,WA
2024-04-23,2024,XSE FWD,Magnetic Gray Metallic with Midnight Black Metallic roof,26805,29431,0,26805,Port to dealer,False,,JTNC4MBE0R3229156,Corwin Toyota,ND
2024-04-03,2024,XSE FWD,Classic Silver Metallic with Midnight Black Metallic roof,26805,28907,0,26805,At dealer,False,,JTNC4MBE0R3229237,Claremont Toyota,CA
2024-04-03,2024,XSE FWD,Wind Chill Pearl,26805,29232,0,26805,At dealer,False,,JTNC4MBE0R3229321,Modesto Toyota,CA
2024-04-23T00:00:00.000Z,2024,XSE FWD,Wind Chill Pearl,26805,28993,0,26805,Factory to port,False,DealerHold,JTNC4MBE0R3229335,Ed Morse Delray Toyota,FL
2024-05-18,2024,XSE FWD,Wind Chill Pearl,26805,28614,0,26805,Port to dealer,False,,JTNC4MBE0R3229741,Victory Toyota,MI
2024-05-13,2024,XSE FWD,Magnetic Gray Metallic with Midnight Black Metallic roof,26805,28993,0,26805,Factory to port,False,DealerHold,JTNC4MBE0R3229898,Empire Toyota of Huntington,NY
2024-04-25,2024,XSE FWD,Magnetic Gray Metallic,26805,28488,0,26805,Port to dealer,False,,JTNC4MBE0R3229920,Toyota of Puyallup,WA
2024-05-19,2024,XSE FWD,Magnetic Gray Metallic,26805,28368,0,26805,Port to dealer,False,,JTNC4MBE0R3230033,Hendrick Toyota Merriam,KS
2024-04-19T00:00:00.000Z,2024,XSE FWD,Classic Silver Metallic with Midnight Black Metallic roof,26805,30195,0,26805,Factory to port,False,Available,JTNC4MBE0R3230128,Poe Toyota,TX
2024-05-21,2024,XSE FWD,Classic Silver Metallic,26805,28627,0,26805,Port to dealer,False,,JTNC4MBE0R3230193,Classic Toyota,OH
2024-04-23,2024,XSE FWD,Wind Chill Pearl,26805,28918,0,26805,Port to dealer,False,,JTNC4MBE0R3230212,Vancouver Toyota,WA
2024-05-28,2024,XSE FWD,Finish Line Red,26805,28764,0,26805,Port to dealer,False,,JTNC4MBE0R3230520,Ferris Toyota,OH
2024-05-13,2024,XSE FWD,Magnetic Gray Metallic,26805,29125,0,26805,Factory to port,False,,JTNC4MBE0R3230601,Pohanka Toyota of Salisbury,MD
2024-04-25T00:00:00.000Z,2024,XSE FWD,Wind Chill Pearl,26805,30120,1495,28300,Factory to port,False,Available,JTNC4MBE0R3230615,Cavender Toyota,TX
2024-05-12,2024,XSE FWD,Midnight Black Metallic,26805,28409,0,26805,Factory to port,False,DealerHold,JTNC4MBE0R3230999,Conicelli Toyota,PA
2024-04-12,2024,XSE FWD,Midnight Black Metallic,26805,28623,0,26805,Factory to port,False,,JTNC4MBE0R3231022,Romano Toyota,NY
2024-05-20,2024,XSE FWD,Wind Chill Pearl with Midnight Black Metallic roof,26805,29563,0,26805,Factory to port,False,,JTNC4MBE0R3231098,Atlantic Toyota,MA
2024-06-05,2024,XSE FWD,Classic Silver Metallic,26805,28907,0,26805,Factory to port,False,,JTNC4MBE0R3231246,Robinson Toyota,TN
2024-05-29,2024,XSE FWD,Magnetic Gray Metallic with Midnight Black Metallic roof,26805,28928,0,26805,Factory to port,False,,JTNC4MBE0R3231361,Earnhardt Toyota,AZ
2024-06-01,2024,XSE FWD,Wind Chill Pearl with Midnight Black Metallic roof,26805,29643,0,26805,Factory to port,False,,JTNC4MBE0R3231375,Toyota of Louisville,KY
2024-05-13,2024,XSE FWD,Inferno,26805,28189,0,26805,Factory to port,False,,JTNC4MBE0R3231537,Culver City Toyota,CA
2024-06-04,2024,XSE FWD,Blue Crush Metallic,26805,30074,0,26805,Factory to port,False,DealerHold,JTNC4MBE0R3231666,Toyota of Cool Springs,TN
2024-05-07T00:00:00.000Z,2024,XSE FWD,Wind Chill Pearl,26805,30232,0,26805,Factory to port,False,Available,JTNC4MBE0R3231747,Toyota of Cedar Park,TX
2024-06-09,2024,XSE FWD,Classic Silver Metallic,26805,28498,295,27100,Factory to port,False,,JTNC4MBE0R3232137,Thayer Toyota,OH
2024-06-05,2024,XSE FWD,Blue Crush Metallic,26805,28189,0,26805,Factory to port,False,,JTNC4MBE0R3232350,Newark Toyotaworld,DE
2024-06-15,2024,XSE FWD,Wind Chill Pearl,26805,28983,0,26805,Factory to port,False,,JTNC4MBE0R3232459,Camelback Toyota,AZ
2024-06-05,2024,XSE FWD,Finish Line Red,26805,29052,0,26805,Factory to port,False,,JTNC4MBE0R3232641,Toyota of Greensburg,PA
2023-09-09,2023,XSE FWD,Finish Line Red,26580,28389,0,26580,At dealer,False,,JTNC4MBE1P3212668,Yellowstone Toyota,WY
2024-01-26,2024,XSE FWD,Wind Chill Pearl with Midnight Black Metallic roof,26655,29462,0,26655,At dealer,False,Available,JTNC4MBE1R3223141,Toyota Sunnyvale,CA
2024-02-09,2024,XSE FWD,Wind Chill Pearl,26655,28777,0,26655,At dealer,False,,JTNC4MBE1R3223527,Advantage Toyota,WV
2024-04-05,2024,XSE FWD,Finish Line Red with Midnight Black Metallic roof,26655,29563,0,26655,At dealer,False,DealerHold,JTNC4MBE1R3223754,Village Pointe Toyota,NE
2024-02-25,2024,XSE FWD,Magnetic Gray Metallic with Midnight Black Metallic roof,26655,28539,0,26655,At dealer,False,,JTNC4MBE1R3224841,Hoselton Toyota,NY
2024-02-23T00:00:00.000Z,2024,XSE FWD,Classic Silver Metallic,26805,29320,0,26805,At dealer,False,Available,JTNC4MBE1R3225388,North Park Toyota of San Antonio,TX
2024-04-23,2024,XSE FWD,Classic Silver Metallic,26805,28439,0,26805,Port to dealer,False,DealerHold,JTNC4MBE1R3225455,Bergstrom Toyota,WI
2024-04-19,2024,XSE FWD,Wind Chill Pearl with Midnight Black Metallic roof,26805,29774,0,26805,Port to dealer,False,,JTNC4MBE1R3226881,Seeger Toyota of St. Robert,MO
2024-03-19,2024,XSE FWD,Midnight Black Metallic,26805,28718,0,26805,At dealer,False,,JTNC4MBE1R3227383,Williams Toyota of Elmira,NY
2024-03-31T00:00:00.000Z,2024,XSE FWD,Ice Cap,26805,29147,0,26805,At dealer,False,Available,JTNC4MBE1R3227903,World Toyota,GA
2024-04-06T00:00:00.000Z,2024,XSE FWD,Classic Silver Metallic,26805,29555,0,26805,At dealer,False,Available,JTNC4MBE1R3228355,Miracle Toyota,FL
2024-04-07T00:00:00.000Z,2024,XSE FWD,Classic Silver Metallic,26805,29266,0,26805,At dealer,False,Available,JTNC4MBE1R3228582,Vann York Toyota,NC
2024-04-06T00:00:00.000Z,2024,XSE FWD,Ice Cap,26805,30293,0,26805,At dealer,False,,JTNC4MBE1R3228615,Beaver Toyota of Cumming,GA
2024-04-09,2024,XSE FWD,Inferno,26805,28748,0,26805,At dealer,False,DealerHold,JTNC4MBE1R3228758,Wilsonville Toyota,OR
2024-04-07T00:00:00.000Z,2024,XSE FWD,Blue Crush Metallic,26805,29432,0,26805,Factory to port,False,Available,JTNC4MBE1R3228856,Toyota of Cedar Park,TX
2024-04-24,2024,XSE FWD,Inferno,26805,28718,0,26805,Port to dealer,False,Available,JTNC4MBE1R3229019,Toyota of Murray,KY
2024-05-12,2024,XSE FWD,Magnetic Gray Metallic,26805,28468,0,26805,Factory to port,True,,JTNC4MBE1R3229022,Faulkner Toyota,PA
2024-05-06,2024,XSE FWD,Wind Chill Pearl with Midnight Black Metallic roof,26805,29293,0,26805,Port to dealer,False,Available,JTNC4MBE1R3229134,Rolling Hills Toyota,MO
2024-04-23T00:00:00.000Z,2024,XSE FWD,Classic Silver Metallic,26805,27979,0,26805,Factory to port,False,Available,JTNC4MBE1R3229215,Earl Stewart Toyota of North Palm Beach,FL
2024-04-23,2024,XSE FWD,Magnetic Gray Metallic,26805,28732,0,26805,Port to dealer,False,Available,JTNC4MBE1R3229232,Russ Darrow Toyota,WI
2024-04-05,2024,XSE FWD,Magnetic Gray Metallic,26805,29195,0,26805,At dealer,False,DealerHold,JTNC4MBE1R3229408,Mossy Toyota,CA
2024-04-02,2024,XSE FWD,Wind Chill Pearl,26805,28832,0,26805,At dealer,False,Available,JTNC4MBE1R3229425,Toyota of Olympia,WA
2024-05-12,2024,XSE FWD,Wind Chill Pearl with Midnight Black Metallic roof,26805,29528,299,27104,Factory to port,False,,JTNC4MBE1R3229442,Team Toyota,PA
2024-04-22,2024,XSE FWD,Magnetic Gray Metallic with Midnight Black Metallic roof,26805,29206,0,26805,Port to dealer,False,,JTNC4MBE1R3229490,Centennial Toyota,NV
2024-04-13T00:00:00.000Z,2024,XSE FWD,Blue Crush Metallic,26805,29232,0,26805,Factory to port,False,Available,JTNC4MBE1R3229554,Family Toyota of Arlington,TX
2024-05-14,2024,XSE FWD,Blue Crush Metallic,26805,28752,0,26805,Port to dealer,False,DealerHold,JTNC4MBE1R3229604,Right Toyota,AZ
2024-04-20,2024,XSE FWD,Blue Crush Metallic,26805,28617,2494,29299,Port to dealer,False,,JTNC4MBE1R3229621,Envision Toyota of West Covina,CA
2024-05-01,2024,XSE FWD,Classic Silver Metallic,26805,28189,0,26805,Port to dealer,False,,JTNC4MBE1R3229652,Town Toyota,WA
2024-05-18,2024,XSE FWD,Finish Line Red,26805,29637,0,26805,Port to dealer,False,,JTNC4MBE1R3229716,Rudy Luther Toyota,MN
2024-04-09,2024,XSE FWD,Magnetic Gray Metallic with Midnight Black Metallic roof,26805,29178,0,26805,At dealer,False,,JTNC4MBE1R3229778,Longo Toyota,CA
2024-05-14,2024,XSE FWD,Finish Line Red,26805,28789,0,26805,Port to dealer,False,,JTNC4MBE1R3229781,Earnhardt Toyota,AZ
2024-05-13,2024,XSE FWD,Wind Chill Pearl with Midnight Black Metallic roof,26805,29443,0,26805,Factory to port,False,,JTNC4MBE1R3229845,Colonial Toyota,PA
2024-04-18T00:00:00.000Z,2024,XSE FWD,Inferno,26805,29320,1495,28300,Factory to port,False,Available,JTNC4MBE1R3229859,Cavender Toyota,TX
2024-04-29,2024,XSE FWD,Finish Line Red with Midnight Black Metallic roof,26805,29264,0,26805,Factory to port,False,Available,JTNC4MBE1R3229960,Brent Brown Toyota,UT
2024-05-21,2024,XSE FWD,Classic Silver Metallic,26805,28732,0,26805,Factory to port,False,,JTNC4MBE1R3229991,Russ Darrow Toyota,WI
2024-04-26,2024,XSE FWD,Inferno,26805,28287,0,26805,Port to dealer,False,Available,JTNC4MBE1R3230008,Toyota of Escondido,CA
2024-04-29,2024,XSE FWD,Blue Crush Metallic with Midnight Black Metallic roof,26805,29267,1595,28400,Factory to port,False,,JTNC4MBE1R3230123,Findlay Toyota,NV
2024-04-19T00:00:00.000Z,2024,XSE FWD,Wind Chill Pearl,26805,30032,0,26805,Factory to port,False,Available,JTNC4MBE1R3230185,Lithia Toyota of Odessa,TX
