ETA,Year,Model,Color,Base MSRP,TSRP MSRP,Markup,Dealer Price,Shipping Status,Pre-Sold,Hold Status,VIN,Dealer,Dealer State
2024-01-30T00:00:00.000Z,2024,Limited FWD,Blueprint,48110,54398,0,48110,At dealer,False,DealerHold,5TDAAAA50RS010023,Doral Toyota,FL
2024-02-01,2024,XLE FWD,Wind Chill Pearl,43320,47173,1695,45015,At dealer,False,DealerHold,5TDAAAA50RS010149,Anderson Toyota,AZ
2024-03-08,2024,Limited FWD,Storm Cloud,48110,51780,0,48110,At dealer,False,,5TDAAAA50RS011544,Hamilton Toyota,NM
2024-03-10T00:00:00.000Z,2024,Limited FWD,Celestial Silver Metallic,48110,54966,0,48110,At dealer,False,Available,5TDAAAA50RS011804,Rocky Mount Toyota,NC
2024-03-31T00:00:00.000Z,2024,Limited FWD,Coastal Cream,48110,56021,0,48110,Factory to port,True,DealerHold,5TDAAAA50RS011897,Family Toyota of Arlington,TX
2024-03-06T00:00:00.000Z,2024,Limited FWD,Wind Chill Pearl,48110,55847,4995,53105,At dealer,False,Available,5TDAAAA50RS011916,Toyota of Victoria,TX
2024-03-13T00:00:00.000Z,2024,Limited FWD,Wind Chill Pearl,48110,54125,0,48110,At dealer,False,,5TDAAAA50RS012015,Toyota of Deerfield Beach,FL
2024-03-24T00:00:00.000Z,2024,XLE FWD,Coastal Cream,43320,48757,0,43320,At dealer,False,Available,5TDAAAA50RS012242,Milton Martin Toyota,GA
2024-03-25,2024,XLE FWD,Storm Cloud,43320,46617,0,43320,At dealer,False,Available,5TDAAAA50RS012404,Findlay Toyota Flagstaff,AZ
2024-03-20T00:00:00.000Z,2024,Limited FWD,Storm Cloud,48110,55247,0,48110,At dealer,False,Available,5TDAAAA50RS012516,Fred Haas Toyota World,TX
2024-03-20T00:00:00.000Z,2024,XLE FWD,Midnight Black Metallic,43320,46253,0,43320,At dealer,False,Available,5TDAAAA50RS012533,Gene Messer Toyota,TX
2024-03-26T00:00:00.000Z,2024,XLE FWD,Celestial Silver Metallic,43320,46563,0,43320,At dealer,False,Available,5TDAAAA50RS012550,Headquarter Toyota,FL
2024-03-27T00:00:00.000Z,2024,XLE FWD,Wind Chill Pearl,43320,47737,0,43320,At dealer,False,Available,5TDAAAA50RS012564,Prince Toyota,GA
2024-03-26T00:00:00.000Z,2024,Limited FWD,Midnight Black Metallic,48110,54720,0,48110,At dealer,False,Available,5TDAAAA50RS012600,Clearwater Toyota,FL
2024-03-30T00:00:00.000Z,2024,Limited FWD,Blueprint,48110,55382,0,48110,At dealer,False,Available,5TDAAAA50RS012614,Lithia Toyota of Odessa,TX
2024-03-28T00:00:00.000Z,2024,Limited FWD,Coastal Cream,48110,54859,1495,49605,At dealer,True,DealerHold,5TDAAAA50RS012662,Cavender Toyota,TX
2024-03-24T00:00:00.000Z,2024,XLE FWD,Midnight Black Metallic,43320,47405,0,43320,At dealer,False,Available,5TDAAAA50RS012676,Bert Ogden Toyota of Harlingen,TX
2024-04-06T00:00:00.000Z,2024,XLE FWD,Wind Chill Pearl,43320,46815,0,43320,At dealer,False,Available,5TDAAAA50RS012726,Peter Boulware Toyota,FL
2024-03-30T00:00:00.000Z,2024,Limited FWD,Wind Chill Pearl,48110,56247,0,48110,At dealer,False,Available,5TDAAAA50RS012757,Yokem Toyota,LA
2024-04-01T00:00:00.000Z,2024,Limited FWD,Coastal Cream,48110,55607,0,48110,At dealer,False,,5TDAAAA50RS012760,Ed Morse Delray Toyota,FL
2024-04-04,2024,Limited FWD,Wind Chill Pearl,48110,51238,0,48110,Port to dealer,True,DealerHold,5TDAAAA50RS012774,Precision Toyota of Tucson,AZ
2024-04-01T00:00:00.000Z,2024,Limited FWD,Celestial Silver Metallic,48110,53220,0,48110,At dealer,False,,5TDAAAA50RS012788,Springhill Toyota,AL
2024-04-01T00:00:00.000Z,2024,XLE FWD,Ruby Flare Pearl,43320,47775,0,43320,At dealer,False,Available,5TDAAAA50RS012807,Toyota of Hollywood,FL
2024-04-03,2024,Limited FWD,Storm Cloud,48110,49992,1390,49500,Port to dealer,True,,5TDAAAA50RS012810,Toyota of Redlands,CA
