ETA,Year,Model,Color,Base MSRP,TSRP MSRP,Markup,Dealer Price,Shipping Status,Pre-Sold,Hold Status,VIN,Dealer,Dealer State
2024-06-01T00:00:00.000Z,2024,XLE FWD,Ruby Flare Pearl,45020,49031,0,45020,At dealer,False,Available,5TDABAA50RS001447,Toyota of Hattiesburg,MS
Unknown,2024,XLE FWD,Wind Chill Pearl,45020,47786,1495,46515,Port to dealer,False,Available,5TDABAA50RS001545,Simi Valley Toyota,CA
2024-06-09T00:00:00.000Z,2024,XLE FWD,Wind Chill Pearl,45020,49516,0,45020,Factory to port,True,DealerHold,5TDABAA50RS001593,Don McGill Toyota of Katy,TX
Unknown,2024,XLE FWD,Midnight Black Metallic,45020,49305,0,45020,Factory to port,True,Available,5TDABAA50RS001626,Toyota of Cedar Park,TX
2024-06-19T00:00:00.000Z,2024,XLE FWD,Midnight Black Metallic,45020,49305,0,45020,Factory to port,True,Available,5TDABAA50RS001643,Toyota of Cedar Park,TX
2024-06-23T00:00:00.000Z,2024,XLE FWD,Blueprint,45020,48416,2186,47206,Factory to port,False,DealerHold,5TDABAA50RS23D339,Toyota of Laredo,TX
2024-07-01T00:00:00.000Z,2024,XLE FWD,Ruby Flare Pearl,45020,50813,0,45020,Factory to port,False,DealerHold,5TDABAA50RS24G186,Toyota of Dothan,AL
2024-07-02T00:00:00.000Z,2024,XLE FWD,Wind Chill Pearl,45020,50075,0,45020,Factory to port,True,Available,5TDABAA50RS24G365,Toyota of Cedar Park,TX
2024-07-01T00:00:00.000Z,2024,XLE FWD,Storm Cloud,45020,47882,0,45020,Factory to port,True,Available,5TDABAA50RS25E093,Toyota of Killeen,TX
2024-07-10T00:00:00.000Z,2024,XLE FWD,Wind Chill Pearl,45020,51033,0,45020,Factory to port,False,Available,5TDABAA50RS25F230,Gettel Toyota of Bradenton,FL
2024-07-14T00:00:00.000Z,2024,XLE FWD,Midnight Black Metallic,45020,50309,0,45020,Factory to port,True,Available,5TDABAA50RS25G412,Cloninger Toyota,NC
2024-07-08T00:00:00.000Z,2024,XLE FWD,Wind Chill Pearl,45020,50882,0,45020,Factory to port,False,Available,5TDABAA50RS25G457,Mike Johnson's Hickory Toyota,NC
2024-07-21T00:00:00.000Z,2024,XLE FWD,Midnight Black Metallic,45020,49560,0,45020,Factory to port,False,DealerHold,5TDABAA50RS26F224,Palmer's Airport Toyota,AL
2024-07-25,2024,XLE FWD,Wind Chill Pearl,45020,47967,1995,47015,Factory to port,False,,5TDABAA50RS26F594,Toyota Place,CA
2024-07-21T00:00:00.000Z,2024,XLE FWD,Blueprint,45020,50457,0,45020,Factory to port,False,Available,5TDABAA50RS26G339,I-95 Toyota of Brunswick,GA
2024-07-23T00:00:00.000Z,2024,XLE FWD,Wind Chill Pearl,45020,50234,0,45020,Factory to port,False,Available,5TDABAA50RS27D727,Toyota of Hollywood,FL
2024-07-30T00:00:00.000Z,2024,XLE FWD,Celestial Silver Metallic,45020,50457,0,45020,Factory to port,False,Available,5TDABAA50RS27E179,Mark Jacobson Toyota,NC
2024-07-31T00:00:00.000Z,2024,XLE FWD,Storm Cloud,45020,50208,0,45020,Factory to port,False,Available,5TDABAA50RS28E727,Hendrick Toyota Apex,NC
2024-07-28T00:00:00.000Z,2024,XLE FWD,Midnight Black Metallic,45020,49809,0,45020,Factory to port,False,Available,5TDABAA50RS28E758,Toyota of Hollywood,FL
2024-05-14T00:00:00.000Z,2024,XLE FWD,Storm Cloud,45020,49305,0,45020,Factory to port,True,Available,5TDABAA51RS001392,Toyota of Cedar Park,TX
Unknown,2024,XLE FWD,Midnight Black Metallic,45020,47566,2799,47819,Port to dealer,False,,5TDABAA51RS001506,Wondries Toyota,CA
2024-06-12T00:00:00.000Z,2024,XLE FWD,Wind Chill Pearl,45020,50882,0,45020,At dealer,False,Available,5TDABAA51RS001523,Pinehurst Toyota,NC
Unknown,2024,XLE FWD,Wind Chill Pearl,45020,47697,1997,47017,Port to dealer,True,DealerHold,5TDABAA51RS001568,Valley Hi Toyota,CA
2024-06-18T00:00:00.000Z,2024,XLE FWD,Midnight Black Metallic,45020,48091,0,45020,At dealer,False,DealerHold,5TDABAA51RS001585,Clearwater Toyota,FL
2024-06-17T00:00:00.000Z,2024,XLE FWD,Wind Chill Pearl,45020,49406,0,45020,At dealer,False,DealerHold,5TDABAA51RS001599,West Kendall Toyota,FL
Unknown,2024,XLE FWD,Coastal Cream,45020,47166,4280,49300,Port to dealer,False,,5TDABAA51RS001604,Toyota of San Bernardino,CA
Unknown,2024,XLE FWD,Storm Cloud,45020,48915,3117,48137,Port to dealer,False,Available,5TDABAA51RS001618,Norm Reeves Toyota San Diego,CA
Unknown,2024,XLE FWD,Wind Chill Pearl,45020,47887,0,45020,Port to dealer,False,DealerHold,5TDABAA51RS001621,Beach Cities Toyota Westminster,CA
2024-07-01T00:00:00.000Z,2024,XLE FWD,Wind Chill Pearl,45020,49875,1396,46416,Factory to port,False,DealerHold,5TDABAA51RS24F323,Red McCombs Toyota,TX
2024-07-05,2024,XLE FWD,Wind Chill Pearl,45020,47198,0,45020,Factory to port,False,,5TDABAA51RS24G567,Hansel Toyota,CA
2024-07-11,2024,XLE FWD,Ruby Flare Pearl,45020,48462,1390,46410,Factory to port,True,,5TDABAA51RS25F365,Toyota of Redlands,CA
2024-07-24T00:00:00.000Z,2024,XLE FWD,Blueprint,45020,48962,0,45020,Factory to port,False,Available,5TDABAA51RS27C960,AutoNation Toyota Pinellas Park,FL
2024-07-27T00:00:00.000Z,2024,XLE FWD,Midnight Black Metallic,45020,50678,0,45020,Factory to port,False,Available,5TDABAA51RS27C974,Doral Toyota,FL
2024-07-29T00:00:00.000Z,2024,XLE FWD,Wind Chill Pearl,45020,50064,0,45020,Factory to port,False,Available,5TDABAA51RS27D705,Gettel Toyota of Lakewood,FL
2024-08-11,2024,XLE FWD,Storm Cloud,45020,47806,2494,47514,Factory to port,False,,5TDABAA51RS28E641,Envision Toyota of West Covina,CA
2024-08-07T00:00:00.000Z,2024,XLE FWD,Midnight Black Metallic,45020,48560,0,45020,Factory to port,False,Available,5TDABAA51RS28G244,Panama City Toyota,FL
2024-08-07T00:00:00.000Z,2024,XLE FWD,Coastal Cream,45020,49258,0,45020,Factory to port,False,Available,5TDABAA51RS28G342,Toyota of Greenville,SC
Unknown,2024,XLE FWD,Midnight Black Metallic,45020,47566,2799,47819,Port to dealer,False,,5TDABAA52RS001563,Wondries Toyota,CA
2024-06-10T00:00:00.000Z,2024,XLE FWD,Storm Cloud,45020,48076,3685,48705,At dealer,False,DealerHold,5TDABAA52RS001580,Fred Haas Toyota World,TX
Unknown,2024,XLE FWD,Celestial Silver Metallic,45020,48646,799,45819,Factory to port,False,Available,5TDABAA52RS001613,Landers Toyota NWA,AR
Unknown,2024,XLE FWD,Storm Cloud,45020,48974,3995,49015,Factory to port,True,DealerHold,5TDABAA52RS001630,Jim Norton Toyota of Oklahoma City,OK
2024-06-30T00:00:00.000Z,2024,XLE FWD,Wind Chill Pearl,45020,49466,0,45020,Factory to port,False,Available,5TDABAA52RS23E265,Venice Toyota,FL
2024-07-01T00:00:00.000Z,2024,XLE FWD,Wind Chill Pearl,45020,48688,0,45020,Factory to port,False,Available,5TDABAA52RS24F086,Keith Pierson Toyota,FL
2024-06-25T00:00:00.000Z,2024,XLE FWD,Wind Chill Pearl,45020,49445,0,45020,Factory to port,True,Available,5TDABAA52RS24F105,Bryan College Station Toyota,TX
2024-07-07T00:00:00.000Z,2024,XLE FWD,Coastal Cream,45020,49105,0,45020,Factory to port,False,Available,5TDABAA52RS25E144,Toyota of Denton,TX
2024-07-14T00:00:00.000Z,2024,XLE FWD,Coastal Cream,45020,52115,0,45020,Factory to port,False,Available,5TDABAA52RS25F245,AutoNation Toyota Mall of Georgia,GA
