ETA,Year,Model,Color,Base MSRP,TSRP MSRP,Markup,Dealer Price,Shipping Status,Pre-Sold,Hold Status,VIN,Dealer,Dealer State
2023-03-27,2023,Core AWD,Black,35900,39942,0,35900,At dealer,False,Available,JTNABAAE0PA002524,Cecil Atkission Toyota,TX
2024-10-09,2024,Premium AWD,Heavy Metal,40320,42129,0,40320,Factory to port,False,,JTNABAAE0R130CC31,East Madison Toyota,WI
2024-02-03,2024,Premium AWD,Ice Cap,39920,41479,0,39920,At dealer,False,DealerHold,JTNABAAE0RA010061,Coad Toyota,MO
2024-02-23T00:00:00.000Z,2024,Premium AWD,Supersonic Red,40320,42993,997,41317,At dealer,False,Available,JTNABAAE0RA010769,Bohn Toyota,LA
2024-06-06,2024,Circuit Edition AWD,Ice Cap,45140,46878,0,45140,At dealer,False,DealerHold,JTNABAAE0RA012005,Jay Wolfe Toyota of West County,MO
2024-04-21T00:00:00.000Z,2024,Circuit Edition AWD,Ice Cap,45140,47588,648,45788,At dealer,False,Available,JTNABAAE0RA012148,Don Ringler Toyota,TX
2024-07-20T04:00:00.000Z,2024,Core AWD,Ice Cap,36500,39892,0,36500,At dealer,False,Available,JTNABAAE0RA012313,Toyota of Fort Walton Beach,FL
2024-04-26T00:00:00.000Z,2024,Circuit Edition AWD,Ice Cap,45140,47388,0,45140,At dealer,False,Available,JTNABAAE0RA012344,John Harvey Toyota,LA
2024-04-11,2024,Core AWD,Ice Cap,36500,39599,0,36500,At dealer,False,DealerHold,JTNABAAE0RA012361,West Coast Toyota of Long Beach,CA
2024-06-21,2024,Circuit Edition AWD,Ice Cap,45140,47824,0,45140,At dealer,False,DealerHold,JTNABAAE0RA012442,Autoland Toyota,NJ
2024-05-29,2024,Circuit Edition AWD,Ice Cap,45140,47023,0,45140,At dealer,False,Available,JTNABAAE0RA012571,Coggins Toyota of Bennington,VT
2024-04-26T00:00:00.000Z,2024,Circuit Edition AWD,Ice Cap,45140,47388,0,45140,At dealer,False,Available,JTNABAAE0RA012604,Van-Trow Toyota,LA
2024-06-20,2024,Circuit Edition AWD,Ice Cap,45140,47502,0,45140,At dealer,False,DealerHold,JTNABAAE0RA012649,"Fort Dodge Ford, Lincoln, Toyota",IA
2024-04-29,2024,Premium AWD,Ice Cap,40320,42432,0,40320,At dealer,False,,JTNABAAE0RA012716,Tracy Toyota,CA
2024-05-11T00:00:00.000Z,2024,Circuit Edition AWD,Ice Cap,45140,47388,3995,49135,At dealer,False,Available,JTNABAAE0RA012781,Gregg Orr Toyota,AR
2024-06-22,2024,Circuit Edition AWD,Ice Cap,45140,47371,0,45140,At dealer,False,Available,JTNABAAE0RA012845,Ferris Toyota,OH
2024-05-01T00:00:00.000Z,2024,Premium AWD,Supersonic Red,40320,42993,0,40320,At dealer,False,Available,JTNABAAE0RA012862,Sterling McCall Toyota Fort Bend,TX
2024-05-01T00:00:00.000Z,2024,Circuit Edition AWD,Ice Cap,45140,47388,0,45140,At dealer,False,Available,JTNABAAE0RA012876,Toyota of Brookhaven,MS
2024-05-25T00:00:00.000Z,2024,Circuit Edition AWD,Ice Cap,45140,47652,0,45140,At dealer,False,Available,JTNABAAE0RA012943,Bob Tyler Toyota,FL
2024-05-04T00:00:00.000Z,2024,Premium AWD,Heavy Metal,40320,42918,0,40320,At dealer,False,Available,JTNABAAE0RA012957,Mark McLarty Toyota,AR
2024-06-12,2024,Premium AWD,Ice Cap,40320,42016,1595,41915,At dealer,False,,JTNABAAE0RA013039,Findlay Toyota,NV
2024-05-26T00:00:00.000Z,2024,Premium AWD,Ice Cap,40320,42114,0,40320,At dealer,False,Available,JTNABAAE0RA013249,Franklin Toyota,GA
2024-05-29,2024,Core AWD,Supersonic Red,36500,39873,0,36500,At dealer,False,,JTNABAAE0RA013445,Gloucester Toyota,VA
2024-06-03,2024,Core AWD,Ice Cap,36500,39448,0,36500,At dealer,False,,JTNABAAE0RA013669,South Hills Toyota,PA
2024-06-13T00:00:00.000Z,2024,Premium AWD,Black,40320,41415,0,40320,At dealer,False,,JTNABAAE0RA013719,Headquarter Toyota,FL
