ETA,Year,Model,Color,Base MSRP,TSRP MSRP,Markup,Dealer Price,Shipping Status,Pre-Sold,Hold Status,VIN,Dealer,Dealer State
2023-11-26,2023, L FWD,Magnetic Gray Metallic,36620,38373,0,36620,At dealer,False,Available,5TDKDRAH0PS527209,802 Toyota,VT
2024-02-19T00:00:00.000Z,2024,XLE FWD,Wind Chill Pearl,42420,46823,0,42420,At dealer,False,,5TDKDRAH0RS054513,AutoNation Toyota Winter Park,FL
2024-06-18T00:00:00.000Z,2024,XLE FWD,Midnight Black Metallic,42420,46492,799,43219,Factory to port,False,Available,5TDKDRAH0RS23A531,Toyota of Killeen,TX
2024-06-29T00:00:00.000Z,2024,Platinum FWD,Moon Dust,49725,55089,0,49725,Factory to port,False,Available,5TDKDRAH0RS23A626,Scott Clark Toyota,NC
2024-06-29T00:00:00.000Z,2024,Limited FWD,Blueprint,46525,49596,0,46525,Factory to port,False,DealerHold,5TDKDRAH0RS23A951,Panama City Toyota,FL
2024-06-29,2024,XSE FWD,Wind Chill Pearl,44015,47902,195,44210,Factory to port,False,,5TDKDRAH0RS23A979,Cabe Toyota Long Beach,CA
2024-06-24T00:00:00.000Z,2024,XSE FWD,Magnetic Gray Metallic,44015,45560,0,44015,Factory to port,False,Available,5TDKDRAH0RS23B002,Toyota of Orlando,FL
2024-06-26T00:00:00.000Z,2024,XSE FWD,Wind Chill Pearl,44015,49956,0,44015,Factory to port,False,Available,5TDKDRAH0RS23B114,Beaver Toyota of Cumming,GA
2024-06-22T00:00:00.000Z,2024,Platinum FWD,Moon Dust,49725,53874,0,49725,Factory to port,False,DealerHold,5TDKDRAH0RS24A167,Toyota of Cedar Park,TX
2024-07-01T00:00:00.000Z,2024,Limited FWD,Wind Chill Pearl,46525,50721,0,46525,Factory to port,False,Available,5TDKDRAH0RS24A251,Prince Toyota,GA
2024-06-22T00:00:00.000Z,2024,XLE FWD,Magnetic Gray Metallic,42420,46083,0,42420,Factory to port,False,Available,5TDKDRAH0RS24A363,Toyota of Fayetteville,AR
2024-06-29T00:00:00.000Z,2024,XLE FWD,Celestial Silver Metallic,42420,45899,0,42420,Factory to port,False,Available,5TDKDRAH0RS24A444,Lugoff Toyota,SC
2024-06-30T00:00:00.000Z,2024,Limited FWD,Magnetic Gray Metallic,46525,50516,0,46525,Factory to port,False,Available,5TDKDRAH0RS24A573,Toyota of Greenville,SC
2024-07-02T00:00:00.000Z,2024,LE FWD,Blueprint,39270,44457,0,39270,Factory to port,False,Available,5TDKDRAH0RS24A587,AutoNation Toyota Mall of Georgia,GA
2024-06-30T00:00:00.000Z,2024,XLE FWD,Moon Dust,42420,46288,0,42420,Factory to port,False,,5TDKDRAH0RS24A721,Lipton Toyota,FL
2024-07-05,2024,LE FWD,Wind Chill Pearl,39270,42842,2494,41764,Factory to port,False,DealerHold,5TDKDRAH0RS24A833,Envision Toyota of West Covina,CA
2024-07-01,2024,XLE FWD,Magnetic Gray Metallic,42420,46141,0,42420,Factory to port,False,,5TDKDRAH0RS24B013,Tustin Toyota,CA
2024-07-02T00:00:00.000Z,2024,XLE FWD,Moon Dust,42420,47185,0,42420,Factory to port,False,,5TDKDRAH0RS24B075,Toyota of Tampa Bay,FL
2024-07-07T00:00:00.000Z,2024,XSE FWD,Wind Chill Pearl,44015,47262,0,44015,Factory to port,False,Available,5TDKDRAH0RS24B125,Valdosta Toyota,GA
2024-07-01T00:00:00.000Z,2024,XLE FWD,Magnetic Gray Metallic,42420,46477,0,42420,Factory to port,False,Available,5TDKDRAH0RS24B156,Village Cadillac-Toyota,FL
2024-06-30T00:00:00.000Z,2024,Limited FWD,Wind Chill Pearl,46525,52620,0,46525,Factory to port,False,Available,5TDKDRAH0RS24B173,Lynch Toyota of Auburn,AL
2024-06-30T00:00:00.000Z,2024,Platinum FWD,Wind Chill Pearl,49725,53995,0,49725,Factory to port,False,Available,5TDKDRAH0RS24B254,Serra Toyota of Decatur,AL
2024-07-05,2024,LE FWD,Wind Chill Pearl,39270,41733,0,39270,Factory to port,False,,5TDKDRAH0RS24B528,Toyota of Glendale,CA
2024-07-07T00:00:00.000Z,2024,Limited FWD,Wind Chill Pearl,46525,51050,0,46525,Factory to port,False,Available,5TDKDRAH0RS24B559,Hendrick Toyota Concord,NC
2024-07-01T00:00:00.000Z,2024,Platinum FWD,Ruby Flare Pearl,49725,53593,0,49725,Factory to port,False,,5TDKDRAH0RS24B562,Phillips Toyota,FL
2024-07-02T00:00:00.000Z,2024,XLE FWD,Wind Chill Pearl,42420,47522,0,42420,Factory to port,False,Available,5TDKDRAH0RS24B707,Central Florida Toyota,FL
2024-07-10T00:00:00.000Z,2024,XLE FWD,Celestial Silver Metallic,42420,46969,0,42420,Factory to port,False,Available,5TDKDRAH0RS25A004,Cobb County Toyota,GA
2024-07-08T00:00:00.000Z,2024,XLE FWD,Celestial Silver Metallic,42420,45092,0,42420,Factory to port,False,Available,5TDKDRAH0RS25A018,Southern 441 Toyota,FL
2024-07-08T00:00:00.000Z,2024,XLE FWD,Wind Chill Pearl,42420,46324,0,42420,Factory to port,False,,5TDKDRAH0RS25A052,Headquarter Toyota,FL
2024-07-12,2024,XSE FWD,Magnetic Gray Metallic,44015,48225,0,44015,Factory to port,False,,5TDKDRAH0RS25A083,Toyota of Santa Maria,CA
2024-07-09T00:00:00.000Z,2024,Platinum FWD,Ruby Flare Pearl,49725,55118,0,49725,Factory to port,False,Available,5TDKDRAH0RS25A200,Fred Anderson Toyota,NC
2024-07-09T00:00:00.000Z,2024,LE FWD,Moon Dust,39270,44882,0,39270,Factory to port,False,Available,5TDKDRAH0RS25A231,AutoNation Toyota Mall of Georgia,GA
2024-07-01T00:00:00.000Z,2024,XLE FWD,Moon Dust,42420,46918,599,43019,Factory to port,False,Available,5TDKDRAH0RS25A343,Landers Toyota,AR
