Year,Model,Color,Base MSRP,Markup,Dealer Price,Shipping Status,Pre-Sold,Hold Status,VIN,Dealer,Dealer State
2023,Highlander  Hybrid Bronze Edition FWD,Wind Chill Pearl,46380,1198.0,47578.0,At dealer,False,DealerHold,5TDAARAH6PS021582,Karl Malone Toyota of Ruston,LA
2023,Highlander  Hybrid Bronze Edition FWD,Midnight Black Metallic,46380,0.0,46380.0,At dealer,False,DealerHold,5TDAARAH9PS528346,Street Toyota,TX
2023,Bronze Edition AWD,Midnight Black Metallic,47980,0.0,47980.0,At dealer,False,Available,5TDABRCH1PS602031,Danville Toyota,VA
2023,Bronze Edition AWD,Midnight Black Metallic,47980,0.0,47980.0,At dealer,False,,5TDABRCH2PS595221,Ball Toyota of Charleston,WV
2023,Bronze Edition AWD,Midnight Black Metallic,47980,0.0,47980.0,At dealer,False,,5TDABRCH2PS601857,Ball Toyota of Charleston,WV
2023,Bronze Edition AWD,Midnight Black Metallic,47980,0.0,47980.0,At dealer,False,DealerHold,5TDABRCH4PS596080,Toyota of Murfreesboro,TN
2023,Bronze Edition AWD,Midnight Black Metallic,47980,0.0,47980.0,At dealer,False,,5TDABRCH8PS601717,Ball Toyota of Charleston,WV
2024,LE AWD,Moon Dust,42570,0.0,42570.0,Factory to port,False,,5TDBBRCH0RS10J185,City Toyota,CA
2024,LE AWD,Celestial Silver Metallic,42570,1295.0,43865.0,Factory to port,False,,5TDBBRCH0RS11L417,Auburn Toyota,CA
2024,LE AWD,Wind Chill Pearl,42570,0.0,42570.0,Port to dealer,False,DealerHold,5TDBBRCH0RS142853,Performance Toyota Bountiful,UT
2024,LE AWD,Moon Dust,42320,0.0,42320.0,At dealer,False,DealerHold,5TDBBRCH0RS610984,Camelback Toyota,AZ
2024,LE AWD,Midnight Black Metallic,42570,0.0,42570.0,Factory to port,False,,5TDBBRCH1RS13K199,Maita's Toyota of Sacramento,CA
2024,LE AWD,Moon Dust,42570,0.0,42570.0,Factory to port,False,,5TDBBRCH2RS08C093,Doxon Toyota,WA
2024,LE AWD,Magnetic Gray Metallic,42570,0.0,42570.0,Factory to port,False,,5TDBBRCH2RS12I912,Concord Toyota,CA
2024,LE AWD,Wind Chill Pearl,42570,0.0,42570.0,Factory to port,False,,5TDBBRCH3RS10K301,Stevens Creek Toyota,CA
2024,LE AWD,Magnetic Gray Metallic,42570,0.0,42570.0,Factory to port,False,,5TDBBRCH3RS12J284,Concord Toyota,CA
2024,LE AWD,Magnetic Gray Metallic,42570,0.0,42570.0,Port to dealer,True,,5TDBBRCH3RS142958,Avondale Toyota,AZ
2024,LE AWD,Wind Chill Pearl,42570,0.0,42570.0,Factory to port,False,,5TDBBRCH4RS13K200,Stevens Creek Toyota,CA
2024,LE AWD,Celestial Silver Metallic,42570,0.0,42570.0,Factory to port,True,DealerHold,5TDBBRCH5RS11M546,Karl Malone Toyota,UT
2024,LE AWD,Magnetic Gray Metallic,42570,0.0,42570.0,Factory to port,False,,5TDBBRCH5RS12K095,City Toyota,CA
2024,LE AWD,Wind Chill Pearl,42570,1595.0,44165.0,Port to dealer,True,Available,5TDBBRCH5RS142475,Findlay Toyota,NV
2024,LE AWD,Wind Chill Pearl,42570,0.0,42570.0,Factory to port,False,,5TDBBRCH6RS10K096,Stevens Creek Toyota,CA
2024,LE AWD,Cypress,42570,0.0,42570.0,Factory to port,True,DealerHold,5TDBBRCH6RS13J694,Palmiero Toyota,PA
2024,LE AWD,Magnetic Gray Metallic,42320,0.0,42320.0,At dealer,False,DealerHold,5TDBBRCH6RS610939,Rogers Toyota of Hermiston,OR
2024,LE AWD,Moon Dust,42570,0.0,42570.0,At dealer,False,,5TDBBRCH7RS141828,Kendall Toyota,OR
2024,LE AWD,Magnetic Gray Metallic,42570,0.0,42570.0,Port to dealer,False,DealerHold,5TDBBRCH7RS142817,Rodland Toyota,WA
2024,LE AWD,Magnetic Gray Metallic,42570,0.0,42570.0,Port to dealer,True,DealerHold,5TDBBRCH7RS142848,"Pedersen Toyota, Ltd.",CO
2024,LE AWD,Magnetic Gray Metallic,42570,0.0,42570.0,Factory to port,False,,5TDBBRCH8RS12J894,One Toyota of Oakland,CA
2024,LE AWD,Magnetic Gray Metallic,42570,0.0,42570.0,Port to dealer,False,,5TDBBRCH8RS142924,Wilsonville Toyota,OR
2024,LE AWD,Midnight Black Metallic,42570,395.0,42965.0,Factory to port,False,,5TDBBRCH8RS142986,Toyota of Olympia,WA
2024,LE AWD,Celestial Silver Metallic,42320,0.0,42320.0,At dealer,False,,5TDBBRCH8RS610652,Beaverton Toyota,OR
2024,LE AWD,Wind Chill Pearl,42320,0.0,42320.0,At dealer,False,,5TDBBRCH9RS611017,Capitol Toyota,CA
2024,LE AWD,Celestial Silver Metallic,42570,0.0,42570.0,Factory to port,False,,5TDBBRCHXRS11M350,San Francisco Toyota,CA
2024,LE AWD,Magnetic Gray Metallic,42570,0.0,42570.0,Port to dealer,False,DealerHold,5TDBBRCHXRS142732,Peterson Toyota,ID
2023,Platinum AWD,Magnetic Gray Metallic,53025,0.0,53025.0,At dealer,False,DealerHold,5TDEBRCH0PS129899,Toyota West,OH
2023,Platinum AWD,Wind Chill Pearl,53025,0.0,53025.0,At dealer,True,DealerHold,5TDEBRCH0PS131085,Toyota of Clovis,CA
2024,Platinum AWD,Wind Chill Pearl,53375,0.0,53375.0,Factory to port,False,Available,5TDEBRCH0RS09A402,Santa Margarita Toyota,CA
2024,Platinum AWD,Magnetic Gray Metallic,53375,0.0,53375.0,Factory to port,True,,5TDEBRCH0RS09B601,Crown Toyota,MI
2024,Platinum AWD,Ruby Flare Pearl,53375,2098.0,55473.0,Factory to port,True,DealerHold,5TDEBRCH0RS09B629,Toyota of Surprise,AZ
2024,Platinum AWD,Blueprint,53375,1999.0,55374.0,Factory to port,True,,5TDEBRCH0RS09C439,Foothills Toyota,WA
2024,Platinum AWD,Blueprint,53375,0.0,53375.0,Factory to port,False,DealerHold,5TDEBRCH0RS09C442,West Herr Toyota of Canandaigua,NY
2024,Platinum AWD,Ruby Flare Pearl,53375,0.0,53375.0,Factory to port,False,DealerHold,5TDEBRCH0RS10I400,Toyota of Santa Fe,NM
2024,Platinum AWD,Wind Chill Pearl,53375,0.0,53375.0,Factory to port,True,Available,5TDEBRCH0RS11K619,Hansel Toyota,CA
2024,Platinum AWD,Moon Dust,53375,0.0,53375.0,Factory to port,True,Available,5TDEBRCH0RS11L494,University Toyota,WV
2024,Platinum AWD,Magnetic Gray Metallic,53375,0.0,53375.0,Factory to port,True,DealerHold,5TDEBRCH0RS12J210,Lancaster Toyota,PA
2024,Platinum AWD,Magnetic Gray Metallic,53375,5783.0,59158.0,Factory to port,False,DealerHold,5TDEBRCH0RS12K017,Toyota of Renton,WA
2024,Platinum AWD,Wind Chill Pearl,53375,2495.0,55870.0,Factory to port,True,,5TDEBRCH0RS12K020,Toyota of Orange,CA
