ETA,Year,Model,Color,Base MSRP,TSRP MSRP,Markup,Dealer Price,Shipping Status,Pre-Sold,Hold Status,VIN,Dealer,Dealer State
Unknown,2024,Limited FWD,Wind Chill Pearl,34965,39243,0,34965,Port to dealer,True,,JTDACAAU0R3026323,Wilson Toyota,IA
Unknown,2024,LE FWD,Wind Chill Pearl,27950,30123,0,27950,Factory to port,False,DealerHold,JTDACAAU0R3027567,DARCARS Toyota,MD
Unknown,2024,LE FWD,Wind Chill Pearl,27950,30039,0,27950,Factory to port,False,Available,JTDACAAU0R3027617,Toyota of Southern Maryland,MD
Unknown,2024,Limited FWD,Wind Chill Pearl,34965,39088,0,34965,Port to dealer,False,,JTDACAAU0R3027715,Magnussen's Toyota of Palo Alto,CA
Unknown,2024,Limited FWD,Midnight Black Metallic,34965,38588,0,34965,Port to dealer,False,DealerHold,JTDACAAU0R3027763,Eddy's Toyota of Wichita,KS
2024-04-07T00:00:00.000Z,2024,LE FWD,Midnight Black Metallic,27950,30448,0,27950,At dealer,False,Available,JTDACAAU0R3027777,Principle Toyota of Hernando,MS
Unknown,2024,LE FWD,Reservoir Blue,27950,29588,0,27950,Port to dealer,False,DealerHold,JTDACAAU0R3027794,Summit Toyota of Akron,OH
Unknown,2024,XLE FWD,Supersonic Red,31395,34449,0,31395,Port to dealer,False,DealerHold,JTDACAAU0R3027987,Team Toyota of Glen Mills,PA
Unknown,2024,LE FWD,Wind Chill Pearl,27950,30873,0,27950,Factory to port,True,Available,JTDACAAU0R3028086,North Park Toyota of San Antonio,TX
2024-08-07T00:00:00.000Z,2024,Limited FWD,Cutting Edge,34965,39720,0,34965,Factory to port,False,DealerHold,JTDACAAU0R3028105,Clearwater Toyota,FL
Unknown,2024,Limited FWD,Wind Chill Pearl,34965,38477,0,34965,Factory to port,True,Available,JTDACAAU0R3028217,Oxford Toyota,MS
Unknown,2024,LE FWD,Guardian Gray,27950,29448,0,27950,Factory to port,False,DealerHold,JTDACAAU0R3028220,West Coast Toyota of Long Beach,CA
Unknown,2024,LE FWD,Wind Chill Pearl,27950,30533,1295,29245,Port to dealer,False,Available,JTDACAAU0R3028296,Auburn Toyota,CA
Unknown,2024,Limited FWD,Guardian Gray,34965,37994,0,34965,Port to dealer,False,DealerHold,JTDACAAU0R3028329,Olathe Toyota,KS
Unknown,2024,Limited FWD,Reservoir Blue,34965,38144,0,34965,Port to dealer,False,DealerHold,JTDACAAU0R3028413,Jerry Ackerman Toyota,MO
2024-04-12,2024,XLE FWD,Cutting Edge,31395,35173,3974,35369,At dealer,False,,JTDACAAU0R3028444,Claremont Toyota,CA
Unknown,2024,Limited FWD,Cutting Edge,34965,38083,0,34965,Port to dealer,False,DealerHold,JTDACAAU0R3028489,John Weiss' Toyota of South County,MO
Unknown,2024,XLE FWD,Supersonic Red,31395,35823,0,31395,Port to dealer,False,DealerHold,JTDACAAU0R3028816,David Wilson's Toyota of Las Vegas,NV
Unknown,2024,Limited FWD,Cutting Edge,34965,36684,0,34965,Factory to port,False,,JTDACAAU0R3028878,"Fort Dodge Ford, Lincoln, Toyota",IA
Unknown,2024,XLE FWD,Reservoir Blue,31395,35088,0,31395,Port to dealer,False,DealerHold,JTDACAAU0R3028895,Right Toyota,AZ
Unknown,2024,XLE FWD,Supersonic Red,31395,33673,0,31395,Port to dealer,False,DealerHold,JTDACAAU0R3028914,Toyota of Louisville,KY
Unknown,2024,XLE FWD,Reservoir Blue,31395,34799,0,31395,Factory to port,False,DealerHold,JTDACAAU0R3029089,Andrew Toyota,WI
Unknown,2024,XLE FWD,Wind Chill Pearl,31395,35502,0,31395,Port to dealer,False,,JTDACAAU0R3029108,Toyota of Pasadena,CA
Unknown,2024,XLE FWD,Wind Chill Pearl,31395,34379,0,31395,Port to dealer,False,DealerHold,JTDACAAU0R3029142,Price Toyota,DE
2024-05-06T00:00:00.000Z,2024,XLE FWD,Wind Chill Pearl,31395,36992,2895,34290,Factory to port,True,Available,JTDACAAU0R3029173,Jim Norton Toyota,OK
Unknown,2024,Limited FWD,Guardian Gray,34965,39762,1495,36460,Factory to port,True,DealerHold,JTDACAAU0R3029206,Sterling McCall Toyota,TX
Unknown,2024,LE FWD,Wind Chill Pearl,27950,29804,0,27950,Factory to port,False,,JTDACAAU0R3029366,Tony Divino Toyota,UT
Unknown,2024,XLE FWD,Wind Chill Pearl,31395,33434,0,31395,Factory to port,True,DealerHold,JTDACAAU0R3029383,Inver Grove Toyota,MN
Unknown,2024,Limited FWD,Guardian Gray,34965,37688,0,34965,Factory to port,True,DealerHold,JTDACAAU0R3029450,Temecula Valley Toyota,CA
Unknown,2024,LE FWD,Guardian Gray,27950,29529,0,27950,Factory to port,False,DealerHold,JTDACAAU0R3029612,Culver City Toyota,CA
Unknown,2024,LE FWD,Wind Chill Pearl,27950,30178,0,27950,Factory to port,False,DealerHold,JTDACAAU0R3029724,Temecula Valley Toyota,CA
Unknown,2024,LE FWD,Guardian Gray,27950,29534,0,27950,Port to dealer,True,DealerHold,JTDACAAU0R3029805,Newark Toyotaworld,DE
Unknown,2024,Limited FWD,Cutting Edge,34965,38588,0,34965,Factory to port,False,,JTDACAAU0R3029819,Magnussen's Toyota of Palo Alto,CA
Unknown,2024,LE FWD,Cutting Edge,27950,30448,0,27950,Port to dealer,True,Available,JTDACAAU0R3029822,Vandergriff Toyota,TX
Unknown,2024,Limited FWD,Guardian Gray,34965,38882,0,34965,Factory to port,True,Available,JTDACAAU0R3029853,Freeman Toyota,TX
Unknown,2024,Limited FWD,Cutting Edge,34965,38218,1995,36960,Factory to port,False,DealerHold,JTDACAAU0R3029870,Cabe Toyota Long Beach,CA
2024-07-30,2024,LE FWD,Midnight Black Metallic,27950,29449,0,27950,Factory to port,False,,JTDACAAU0R3029884,Beach Cities Toyota Westminster,CA
