ETA,Year,Model,Color,Base MSRP,TSRP MSRP,Markup,Dealer Price,Shipping Status,Pre-Sold,Hold Status,VIN,Dealer,Dealer State
2024-11-06,2024,SE FWD,Guardian Gray,32975,34798,1397,34372,Factory to port,False,,JTDACACU0R136DM57,DCH Wappingers Falls Toyota,NY
2024-11-09,2024,SE FWD,Reservoir Blue,32975,34593,0,32975,Factory to port,False,,JTDACACU0R136DM88,Sunrise Toyota North,NY
2024-11-03,2024,SE FWD,Guardian Gray,32975,34534,0,32975,Factory to port,False,,JTDACACU0R137CR97,AutoNation Toyota Buena Park,CA
2024-10-28,2024,XSE FWD,Cutting Edge,36225,40482,4119,40344,Factory to port,False,,JTDACACU0R137CS07,Claremont Toyota,CA
2024-11-05,2024,XSE FWD,Cutting Edge,36225,39988,0,36225,Factory to port,False,,JTDACACU0R137CS10,Bob Smith Toyota,CA
2024-11-07,2024,XSE Premium FWD,Guardian Gray,39670,44028,0,39670,Factory to port,False,,JTDACACU0R137CS24,Toyota of Lompoc,CA
2024-10-27,2024,XSE Premium FWD,Midnight Black Metallic,39670,43183,0,39670,Factory to port,False,,JTDACACU0R137CS38,Toyota of Glendale,CA
2024-10-28,2024,XSE Premium FWD,Reservoir Blue,39670,43677,4119,43789,Factory to port,False,,JTDACACU0R137CS41,Claremont Toyota,CA
2024-10-30,2024,XSE FWD,Wind Chill Pearl,36225,38035,0,36225,Factory to port,False,,JTDACACU0R137DA46,Jimmy Vasser Toyota,CA
2024-10-27,2024,XSE Premium FWD,Guardian Gray,39670,41184,1798,41468,Factory to port,False,,JTDACACU0R137DE83,Toyota of Portland on Broadway,OR
2024-11-09,2024,SE FWD,Guardian Gray,32975,34878,0,32975,Factory to port,False,,JTDACACU0R137DQ09,Sunrise Toyota North,NY
2024-11-09,2024,SE FWD,Guardian Gray,32975,35084,0,32975,Factory to port,False,,JTDACACU0R137DQ12,Gateway Toyota,NJ
2024-11-15,2024,SE FWD,Reservoir Blue,32975,35239,0,32975,Factory to port,False,,JTDACACU0R137DQ26,Empire Toyota,NY
2024-11-18,2024,SE FWD,Guardian Gray,32975,34908,0,32975,Factory to port,False,DealerHold,JTDACACU0R137DQ43,Waite Toyota,NY
2024-11-12,2024,XSE Premium FWD,Wind Chill Pearl,39670,43774,0,39670,Factory to port,False,,JTDACACU0R137DQ60,Curry Toyota,NY
2024-11-09,2024,XSE Premium FWD,Midnight Black Metallic,39670,43882,888,40558,Factory to port,False,,JTDACACU0R137DY43,Romeoville Toyota,IL
2024-11-12,2024,XSE Premium FWD,Cutting Edge,39670,42894,0,39670,Factory to port,False,,JTDACACU0R137EA49,Watermark Toyota,KY
2024-11-11,2024,XSE Premium FWD,Midnight Black Metallic,39670,43728,0,39670,Factory to port,False,,JTDACACU0R137EA52,Landers McLarty Toyota,TN
2024-02-15,2024,XSE FWD,Supersonic Red,35925,40428,599,36524,At dealer,False,Available,JTDACACU0R3017019,Hudson Toyota,NJ
2024-02-22,2024,XSE FWD,Guardian Gray,35925,39579,0,35925,At dealer,False,Available,JTDACACU0R3017022,Hoffman Toyota,CT
