ETA,Year,Model,Color,Base MSRP,TSRP MSRP,Markup,Dealer Price,Shipping Status,Pre-Sold,Hold Status,VIN,Dealer,Dealer State
2024-07-07T00:00:00.000Z,2024,XLE Premium AWD,Magnetic Gray Metallic,34475,37949,0,34475,Factory to port,False,,2T3A1RFV0RC23I342,Mark Jacobson Toyota,NC
2024-07-09,2024,XLE Premium AWD,Silver Sky Metallic,34475,38844,0,34475,Factory to port,False,,2T3A1RFV0RC24F727,Legends Toyota,KS
2024-07-05,2024,XLE Premium AWD,Silver Sky Metallic,34475,37958,2098,36573,Factory to port,False,Available,2T3A1RFV0RC24F808,Toyota of Surprise,AZ
2024-07-08,2024,XLE Premium AWD,Magnetic Gray Metallic,34475,37674,0,34475,Factory to port,False,Available,2T3A1RFV0RC24F842,Avondale Toyota,AZ
2024-07-15,2024,XLE Premium AWD,Magnetic Gray Metallic,34475,38129,0,34475,Factory to port,False,,2T3A1RFV0RC24F940,Toyota of Des Moines,IA
2024-07-09,2024,XLE Premium AWD,Magnetic Gray Metallic,34475,39339,0,34475,Factory to port,False,,2T3A1RFV0RC24I322,Copeland Toyota,MA
2024-07-07,2024,XLE Premium AWD,Magnetic Gray Metallic,34475,37609,0,34475,Factory to port,False,,2T3A1RFV0RC24I336,Haley Toyota of Richmond,VA
2024-07-01,2024,XLE Premium AWD,Magnetic Gray Metallic,34475,39564,0,34475,Factory to port,False,,2T3A1RFV0RC24I434,Ardmore Toyota,PA
2024-07-19,2024,XLE Premium AWD,Midnight Black Metallic,34475,38208,0,34475,Factory to port,False,,2T3A1RFV0RC25D388,Baxter Toyota of La Vista,NE
2024-07-23,2024,XLE Premium AWD,Silver Sky Metallic,34475,39618,0,34475,Factory to port,False,,2T3A1RFV0RC25D407,Baxter Toyota of La Vista,NE
2024-07-17,2024,XLE Premium AWD,Magnetic Gray Metallic,34475,39239,0,34475,Factory to port,False,,2T3A1RFV0RC25G002,Toyota of Smithfield,RI
2024-07-25,2024,XLE Premium AWD,Silver Sky Metallic,34475,38378,0,34475,Factory to port,False,,2T3A1RFV0RC26F167,Marion Toyota,IL
2024-07-13,2024,XLE Premium AWD,Midnight Black Metallic,34475,37883,0,34475,Factory to port,False,,2T3A1RFV0RC26G643,Sloane Toyota of Glenside,PA
2024-07-24,2024,XLE Premium AWD,Magnetic Gray Metallic,34475,38389,0,34475,Factory to port,False,,2T3A1RFV0RC26H582,Luther Brookdale Toyota,MN
2024-07-17,2024,XLE Premium AWD,Silver Sky Metallic,34475,40129,0,34475,Factory to port,False,,2T3A1RFV0RC26H596,Dan Cava's Toyota World,WV
2024-07-13,2024,XLE Premium AWD,Midnight Black Metallic,34475,38877,0,34475,Factory to port,False,,2T3A1RFV0RC26J020,Toyota of Erie,PA
2024-07-20T00:00:00.000Z,2024,XLE Premium AWD,Magnetic Gray Metallic,34475,38317,0,34475,Factory to port,False,Available,2T3A1RFV0RC26J034,Rick Hendrick Toyota Sandy Springs,GA
2024-08-03,2024,XLE Premium AWD,Silver Sky Metallic,34475,37614,0,34475,Factory to port,False,,2T3A1RFV0RC28E303,Anderson-Weber Toyota,IA
2024-03-20,2024,XLE Premium AWD,Midnight Black Metallic,34475,39923,0,34475,At dealer,False,,2T3A1RFV0RC432560,Rogers Toyota of Hermiston,OR
2024-05-23,2024,XLE Premium AWD,Silver Sky Metallic,34475,40142,0,34475,At dealer,False,Available,2T3A1RFV0RC446488,Toyota of Puyallup,WA
2024-05-29,2024,XLE Premium AWD,Silver Sky Metallic,34475,38993,0,34475,At dealer,False,Available,2T3A1RFV0RC449195,Seeger Toyota,MO
2024-05-22,2024,XLE Premium AWD,Magnetic Gray Metallic,34475,39573,0,34475,At dealer,False,DealerHold,2T3A1RFV0RC450878,Grieco Toyota,RI
2024-06-03,2024,XLE Premium AWD,Midnight Black Metallic,34475,38002,0,34475,At dealer,False,,2T3A1RFV0RC451366,AutoNation Toyota Spokane Valley,WA
2024-06-08,2024,XLE Premium AWD,Magnetic Gray Metallic,34475,39813,0,34475,Port to dealer,False,Available,2T3A1RFV0RC451691,Victory Toyota,CA
2024-06-20,2024,XLE Premium AWD,Magnetic Gray Metallic,34475,39192,0,34475,Port to dealer,False,,2T3A1RFV0RC451934,Frank Fletcher Toyota,MO
2024-06-03,2024,XLE Premium AWD,Silver Sky Metallic,34475,39654,0,34475,At dealer,False,DealerHold,2T3A1RFV0RC451948,Advantage Toyota,WV
2024-06-17,2024,XLE Premium AWD,Magnetic Gray Metallic,34475,37434,0,34475,Port to dealer,False,Available,2T3A1RFV0RC452033,Legends Toyota,KS
2024-06-11,2024,XLE Premium AWD,Magnetic Gray Metallic,34475,37829,0,34475,Port to dealer,False,,2T3A1RFV0RC452260,City World Toyota,NY
2024-05-30,2024,XLE Premium AWD,Magnetic Gray Metallic,34475,39374,0,34475,At dealer,False,,2T3A1RFV0RC452355,Herb Chambers Toyota of Boston,MA
2024-06-05,2024,XLE Premium AWD,Midnight Black Metallic,34475,38214,0,34475,At dealer,False,,2T3A1RFV0RC452467,Heritage Toyota Owings Mills,MD
2024-06-08,2024,XLE Premium AWD,Silver Sky Metallic,34475,37883,0,34475,Port to dealer,True,,2T3A1RFV0RC453604,Haley Toyota of Richmond,VA
