ETA,Year,Model,Color,Base MSRP,TSRP MSRP,Markup,Dealer Price,Shipping Status,Pre-Sold,Hold Status,VIN,Dealer,Dealer State
2024-06-25,2024,XLE Premium hybrid,Blueprint,36125,39864,0,36125,At dealer,False,DealerHold,2T3B6RFV0RW068743,Falmouth Toyota,MA
2024-07-09,2024,XLE Premium hybrid,Blueprint,36125,39009,0,36125,Port to dealer,False,Available,2T3B6RFV0RW068967,Hertrich Toyota of Pocomoke,MD
Unknown,2024,XLE Premium hybrid,Wind Chill Pearl,36125,39349,0,36125,Port to dealer,False,,2T3B6RFV0RW069391,Hillside Toyota,NY
Unknown,2024,XLE Premium hybrid,Silver Sky Metallic,36125,37959,4485,40610,Port to dealer,False,,2T3B6RFV0RW069472,Marina del Rey Toyota,CA
Unknown,2024,XLE Premium hybrid,Magnetic Gray Metallic,36125,39574,0,36125,Port to dealer,False,,2T3B6RFV0RW069486,Malloy Toyota,VA
2024-07-19,2024,XLE Premium hybrid,Wind Chill Pearl,36125,42228,0,36125,Port to dealer,False,DealerHold,2T3B6RFV0RW069505,Matick Toyota,MI
2024-06-26,2024,XLE Premium hybrid,Blueprint,36125,39538,0,36125,At dealer,False,DealerHold,2T3B6RFV0RW069522,Toyota of Ashland,KY
2024-07-05,2024,XLE Premium hybrid,Midnight Black Metallic,36125,40269,0,36125,At dealer,True,,2T3B6RFV0RW069665,Walser Bloomington Toyota,MN
2024-07-16,2024,XLE Premium hybrid,Blueprint,36125,41059,0,36125,Port to dealer,False,DealerHold,2T3B6RFV0RW069682,Marysville Toyota,WA
2024-07-15,2024,XLE Premium hybrid,Midnight Black Metallic,36125,41534,0,36125,Port to dealer,False,,2T3B6RFV0RW069729,Ourisman Fairfax Toyota,VA
2024-06-29,2024,XLE Premium hybrid,Wind Chill Pearl,36125,39284,0,36125,At dealer,False,DealerHold,2T3B6RFV0RW069875,DARCARS Toyota,MD
2024-07-18,2024,XLE Premium hybrid,Magnetic Gray Metallic,36125,38859,0,36125,Port to dealer,False,Available,2T3B6RFV0RW069925,Dayton Toyota,NJ
2024-07-16,2024,XLE Premium hybrid,Blueprint,36125,39229,0,36125,Port to dealer,False,DealerHold,2T3B6RFV0RW069939,Acton Toyota of Littleton,MA
