ETA,Year,Model,Color,Base MSRP,TSRP MSRP,Markup,Dealer Price,Shipping Status,Pre-Sold,Hold Status,VIN,Dealer,Dealer State
Unknown,2023,SE AWD,Midnight Black Metallic,43090,47108,2488,45578,At dealer,False,Available,JTMAB3FV0PD145741,Toyota of Plano,TX
2024-02-01,2024,SE AWD,Ice Cap,43440,47118,0,43440,At dealer,False,Available,JTMAB3FV0RD179617,DARCARS Toyota,MD
2024-02-20,2024,SE AWD,Supersonic Red,43440,47823,0,43440,At dealer,False,DealerHold,JTMAB3FV0RD181609,DARCARS Toyota,MD
2024-02-18,2024,SE AWD,Magnetic Gray Metallic,43440,47723,0,43440,At dealer,False,,JTMAB3FV0RD183635,Perry Motors Toyota,CA
2024-04-19,2024,SE AWD,Magnetic Gray Metallic,43690,47083,0,43690,At dealer,False,Available,JTMAB3FV0RD195896,Haley Toyota,VA
2024-04-26,2024,SE AWD,Magnetic Gray Metallic,43690,47164,0,43690,At dealer,False,DealerHold,JTMAB3FV0RD197390,Aubrey Alexander Toyota,PA
2024-04-25,2024,SE AWD,Ice Cap,43690,48473,0,43690,At dealer,False,,JTMAB3FV0RD197891,Toyota of Manhattan,NY
2024-05-07,2024,SE AWD,Midnight Black Metallic,43690,47229,0,43690,At dealer,False,DealerHold,JTMAB3FV0RD199480,Passport Toyota,MD
2024-05-08,2024,SE AWD,Blueprint,43690,47014,0,43690,At dealer,False,,JTMAB3FV0RD200787,Bill Kidd's Timonium Toyota,MD
2024-06-04,2024,SE AWD,Magnetic Gray Metallic,43690,47574,0,43690,At dealer,False,,JTMAB3FV0RD202264,Alderman's Toyota,VT
2024-07-15,2024,SE AWD,Magnetic Gray Metallic,43690,47938,0,43690,Port to dealer,False,,JTMAB3FV0RD203334,Copeland Toyota,MA
2024-07-11,2024,SE AWD,Supersonic Red,43690,47375,0,43690,At dealer,False,DealerHold,JTMAB3FV0RD203382,Jim Coleman Toyota,MD
2024-05-28,2024,SE AWD,Blueprint,43690,47479,0,43690,At dealer,False,,JTMAB3FV0RD203849,Fitzgerald Toyota Gaithersburg,MD
2024-05-24,2024,SE AWD,Magnetic Gray Metallic,43690,47389,0,43690,At dealer,False,,JTMAB3FV0RD204371,Toyota of Watertown,MA
2024-06-10,2024,SE AWD,Midnight Black Metallic,43690,47014,0,43690,At dealer,False,Available,JTMAB3FV0RD204905,Grappone Toyota,NH
2024-06-25,2024,SE AWD,Ice Cap,43690,48362,0,43690,At dealer,False,DealerHold,JTMAB3FV0RD205360,Quality Toyota of Independence,KS
2024-06-14,2024,SE AWD,Blueprint,43690,48113,0,43690,At dealer,False,,JTMAB3FV0RD205729,Jones Toyota,MD
2024-06-07,2024,SE AWD,Silver Sky Metallic,43690,48377,0,43690,At dealer,False,,JTMAB3FV0RD206038,Toyota Carlsbad,CA
2024-06-26,2024,SE AWD,Supersonic Red,43690,47919,0,43690,At dealer,False,,JTMAB3FV0RD206668,Toyota City,NY
2024-06-20,2024,SE AWD,Magnetic Gray Metallic,43690,47079,0,43690,At dealer,False,,JTMAB3FV0RD206962,Expressway Toyota,MA
2024-06-24,2024,SE AWD,Silver Sky Metallic,43690,47693,0,43690,At dealer,False,,JTMAB3FV0RD207335,Heritage Toyota Owings Mills,MD
2024-06-25,2024,SE AWD,Ice Cap,43690,47484,0,43690,At dealer,False,DealerHold,JTMAB3FV0RD207433,Kinderhook Toyota,NY
2024-06-27,2024,SE AWD,Ice Cap,43690,47992,1694,45384,At dealer,False,,JTMAB3FV0RD207495,Phil Long Toyota,CO
2024-07-16,2024,SE AWD,Blueprint,43690,48084,0,43690,At dealer,False,DealerHold,JTMAB3FV0RD207772,East Coast Toyota,NJ
2024-06-28,2024,SE AWD,Magnetic Gray Metallic,43690,48088,0,43690,At dealer,False,Available,JTMAB3FV0RD208128,Emerson Toyota,ME
2024-07-02,2024,SE AWD,Magnetic Gray Metallic,43690,47079,0,43690,At dealer,False,,JTMAB3FV0RD208386,Middletown Toyota,CT
2024-06-28,2024,SE AWD,Magnetic Gray Metallic,43690,47329,0,43690,At dealer,False,Available,JTMAB3FV0RD208873,Damian Lillard Toyota,OR
2024-07-15,2024,SE AWD,Silver Sky Metallic,43690,47769,0,43690,Port to dealer,False,,JTMAB3FV0RD209067,Haddad Toyota,MA
2024-07-12,2024,SE AWD,Blueprint,43690,47509,0,43690,At dealer,False,DealerHold,JTMAB3FV0RD209098,Interstate Toyota,NY
2024-06-30,2024,SE AWD,Ice Cap,43690,48082,0,43690,At dealer,False,,JTMAB3FV0RD209201,Toyota of Orange,CA
2024-07-11,2024,SE AWD,Blueprint,43690,47874,0,43690,At dealer,False,,JTMAB3FV0RD209263,Toyota of Wellesley,MA
2024-07-18,2024,SE AWD,Supersonic Red,43690,48574,0,43690,Port to dealer,False,,JTMAB3FV0RD209280,Towne Toyota,NJ
2024-07-19,2024,SE AWD,Magnetic Gray Metallic,43690,47014,0,43690,Port to dealer,False,,JTMAB3FV0RD209294,Handy Toyota,VT
2024-07-11T04:00:00.000Z,2024,SE AWD,Supersonic Red,43690,48078,0,43690,At dealer,False,,JTMAB3FV0RD209571,Courtesy Toyota,FL
2024-06-24,2024,SE AWD,Blueprint,43690,47922,0,43690,At dealer,False,,JTMAB3FV0RD209618,Vancouver Toyota,WA
Unknown,2024,SE AWD,Magnetic Gray Metallic,43690,48033,1443,45133,Port to dealer,False,,JTMAB3FV0RD209652,Toyota of Lancaster,CA
2024-07-08,2024,SE AWD,Magnetic Gray Metallic,43690,47153,0,43690,At dealer,False,,JTMAB3FV0RD209876,Toyota of Escondido,CA
2024-07-23,2024,SE AWD,Magnetic Gray Metallic,43690,47652,0,43690,Port to dealer,False,,JTMAB3FV0RD209960,Balise Toyota of Warwick,RI
2024-06-27,2024,SE AWD,Midnight Black Metallic,43690,47922,0,43690,At dealer,False,,JTMAB3FV0RD210087,Doxon Toyota,WA
