ETA,Year,Model,Color,Base MSRP,TSRP MSRP,Markup,Dealer Price,Shipping Status,Pre-Sold,Hold Status,VIN,Dealer,Dealer State
2024-04-01T00:00:00.000Z,2024,SR5 4x2,Lunar Rock,61275,70588,0,61275,At dealer,False,Available,7SVAAAAA0RX003294,Heyward Allen Toyota,GA
2024-05-27T00:00:00.000Z,2024,Platinum 4x2,Midnight Black Metallic,73865,79475,0,73865,Factory to port,False,Available,7SVAAAAA0RX16F673,Atlanta Toyota,GA
2024-03-25T00:00:00.000Z,2024,SR5 4x2,Midnight Black Metallic,61275,69332,0,61275,At dealer,False,Available,7SVAAAAA1RX003286,Prince Toyota,GA
2024-04-05T00:00:00.000Z,2024,Limited 4x2,Wind Chill Pearl,67675,72269,0,67675,Factory to port,True,Available,7SVAAAAA1RX003353,Bubba Oustalet Toyota,LA
2024-04-07T00:00:00.000Z,2024,Capstone 4x2,Midnight Black Metallic,78265,82466,0,78265,Port to dealer,False,Available,7SVAAAAA1RX003367,Kirk Toyota,MS
2024-04-17T00:00:00.000Z,2024,Limited 4x2,Magnetic Gray Metallic,67675,73185,0,67675,Factory to port,False,Available,7SVAAAAA1RX003370,AutoNation Toyota Mall of Georgia,GA
2024-05-20T00:00:00.000Z,2024,SR5 4x2,Midnight Black Metallic,61275,71900,0,61275,Factory to port,False,Available,7SVAAAAA1RX16H027,Toyota of Hollywood,FL
2024-05-15T00:00:00.000Z,2024,Platinum 4x2,Wind Chill Pearl,73865,78523,1,73866,Factory to port,False,,7SVAAAAA1RX16I338,Florence Toyota,SC
2023-09-27T00:00:00.000Z,2024,Capstone 4x2,Wind Chill Pearl,77865,81333,1495,79360,At dealer,False,Available,7SVAAAAA2RX002518,Cavender Toyota,TX
2024-04-05T00:00:00.000Z,2024,Platinum 4x2,Wind Chill Pearl,73865,79300,0,73865,At dealer,False,Available,7SVAAAAA2RX003295,TeamOne Toyota of Gadsden,AL
2024-04-15T00:00:00.000Z,2024,Capstone 4x2,Midnight Black Metallic,78265,81122,0,78265,Factory to port,False,Available,7SVAAAAA2RX003359,Panama City Toyota,FL
Unknown,2024,Platinum 4x2,Supersonic Red,73865,80455,2995,76860,Factory to port,True,DealerHold,7SVAAAAA2RX003376,Classic Toyota,TX
2024-04-29T00:00:00.000Z,2024,SR5 4x2,Lunar Rock,61275,70751,0,61275,Factory to port,False,DealerHold,7SVAAAAA2RX13C142,Butler Toyota,GA
2024-05-07T00:00:00.000Z,2024,Platinum 4x2,Lunar Rock,73865,79215,0,73865,Factory to port,False,Available,7SVAAAAA2RX14G994,AutoNation Toyota Mall of Georgia,GA
2024-05-15T00:00:00.000Z,2024,Platinum 4x2,Celestial Silver Metallic,73865,78875,0,73865,Factory to port,False,Available,7SVAAAAA2RX14H059,Rick Hendrick Toyota,NC
2024-05-05T00:00:00.000Z,2024,Platinum 4x2,Lunar Rock,73865,80023,0,73865,Factory to port,False,Available,7SVAAAAA2RX14H305,Southern 441 Toyota,FL
2024-05-11T00:00:00.000Z,2024,Platinum 4x2,Magnetic Gray Metallic,73865,77719,0,73865,Factory to port,False,Available,7SVAAAAA2RX15E870,Tuscaloosa Toyota,AL
2024-05-14T00:00:00.000Z,2024,Limited 4x2,Midnight Black Metallic,67675,72316,0,67675,Factory to port,False,Available,7SVAAAAA2RX15G084,"Riverside Toyota, Inc.",GA
2024-05-22T00:00:00.000Z,2024,Limited 4x2,Ice Cap,67675,72467,0,67675,Factory to port,False,Available,7SVAAAAA2RX16F514,Chatham Parkway Toyota,GA
2024-05-26T00:00:00.000Z,2024,Platinum 4x2,Wind Chill Pearl,73865,78444,0,73865,Factory to port,False,Available,7SVAAAAA2RX16G629,Hendrick Toyota North Charleston,SC
2023-12-31T00:00:00.000Z,2024,Platinum 4x2,Supersonic Red,73865,80455,0,73865,Factory to port,False,Available,7SVAAAAA3RX003063,J. Allen Toyota,MS
2024-04-04T00:00:00.000Z,2024,Limited 4x2,Wind Chill Pearl,67675,73680,1875,69550,At dealer,False,Available,7SVAAAAA3RX003337,Red McCombs Toyota,TX
2024-04-14T00:00:00.000Z,2024,SR5 4x2,Midnight Black Metallic,61275,71230,0,61275,Factory to port,False,Available,7SVAAAAA3RX003354,Limbaugh Toyota,AL
2024-04-16T00:00:00.000Z,2024,Platinum 4x2,Celestial Silver Metallic,73865,77719,0,73865,Factory to port,False,Available,7SVAAAAA3RX003371,Tuscaloosa Toyota,AL
2024-05-19T00:00:00.000Z,2024,Limited 4x2,Ice Cap,67675,73185,0,67675,Factory to port,False,Available,7SVAAAAA3RX16F196,Toyota of Easley,SC
2024-05-19T00:00:00.000Z,2024,SR5 4x2,Celestial Silver Metallic,61275,70403,0,61275,Factory to port,False,Available,7SVAAAAA3RX16F294,Hendrick Toyota North Charleston,SC
2024-05-19T00:00:00.000Z,2024,Platinum 4x2,Midnight Black Metallic,73865,77719,0,73865,Factory to port,False,Available,7SVAAAAA3RX16F361,Seminole Toyota,FL
2024-05-21T00:00:00.000Z,2024,Platinum 4x2,Wind Chill Pearl,73865,79900,0,73865,Factory to port,False,Available,7SVAAAAA3RX16H675,Atlanta Toyota,GA
2023-11-02T00:00:00.000Z,2024,Limited 4x2,Supersonic Red,67675,73680,1195,68870,At dealer,False,Available,7SVAAAAA4RX002729,Freeman Toyota,TX
2024-03-17T00:00:00.000Z,2024,SR5 4x2,Celestial Silver Metallic,61275,71031,0,61275,At dealer,False,Available,7SVAAAAA4RX003265,Lowe Toyota of Warner Robins,GA
2024-04-07T00:00:00.000Z,2024,Limited 4x2,Celestial Silver Metallic,67675,73255,0,67675,Factory to port,False,Available,7SVAAAAA4RX003363,Mike Calvert Toyota,TX
2024-04-08T00:00:00.000Z,2024,Limited 4x2,Celestial Silver Metallic,67675,73255,0,67675,Factory to port,False,Available,7SVAAAAA4RX003380,Mike Calvert Toyota,TX
2024-05-05T00:00:00.000Z,2024,Platinum 4x2,Magnetic Gray Metallic,73865,79395,0,73865,Factory to port,False,Available,7SVAAAAA4RX14H094,"Riverside Toyota, Inc.",GA
2024-05-19T00:00:00.000Z,2024,Limited 4x2,Midnight Black Metallic,67675,73185,0,67675,Factory to port,False,Available,7SVAAAAA4RX15I063,AutoNation Toyota Mall of Georgia,GA
2024-05-20T00:00:00.000Z,2024,Platinum 4x2,Wind Chill Pearl,73865,81917,0,73865,Factory to port,False,Available,7SVAAAAA4RX16F949,Jim Ellis Toyota of McDonough,GA
2023-12-15T00:00:00.000Z,2023,Platinum 4x2,Wind Chill Pearl,72465,79003,0,72465,At dealer,False,Available,7SVAAAAA5PX002414,Fred Haas Toyota World,TX
2024-01-30T00:00:00.000Z,2024,Limited 4x2,Supersonic Red,67675,74080,0,67675,At dealer,False,Available,7SVAAAAA5RX003176,Toyota of Cedar Park,TX
2024-02-28T00:00:00.000Z,2024,Capstone 4x2,Magnetic Gray Metallic,78265,81063,0,78265,At dealer,False,Available,7SVAAAAA5RX003226,AutoNation Toyota Weston,FL
2024-03-26T00:00:00.000Z,2024,SR5 4x2,Midnight Black Metallic,61275,69132,0,61275,At dealer,False,Available,7SVAAAAA5RX003291,Clearwater Toyota,FL
2024-04-07T00:00:00.000Z,2024,SR5 4x2,Magnetic Gray Metallic,61275,69660,0,61275,At dealer,False,Available,7SVAAAAA5RX003338,McKinnon Toyota,AL
2024-03-31T00:00:00.000Z,2024,Platinum 4x2,Wind Chill Pearl,73865,80824,0,73865,Factory to port,False,Available,7SVAAAAA5RX003341,Lost Pines Toyota,TX
2024-04-07T00:00:00.000Z,2024,Limited 4x2,Wind Chill Pearl,67675,74180,0,67675,Factory to port,False,Available,7SVAAAAA5RX003369,Kirk Toyota,MS
Unknown,2024,Limited 4x2,Supersonic Red,67675,73147,0,67675,Factory to port,False,Available,7SVAAAAA5RX003372,Fred Haas Toyota World,TX
2024-04-30T00:00:00.000Z,2024,Capstone 4x2,Midnight Black Metallic,78265,82377,0,78265,Factory to port,False,Available,7SVAAAAA5RX14F306,Huntsville Toyota,TX
2023-12-25T00:00:00.000Z,2024,Platinum 4x2,Supersonic Red,73465,77568,0,73465,At dealer,False,Available,7SVAAAAA6RX002974,Scott Will Toyota of Sumter,SC
Unknown,2024,Limited 4x2,Ice Cap,67675,72367,0,67675,At dealer,False,,7SVAAAAA6RX003025,Hendrick Toyota Apex,NC
2024-03-18T00:00:00.000Z,2024,SR5 4x2,Celestial Silver Metallic,61275,68883,0,61275,At dealer,False,Available,7SVAAAAA6RX003283,Miracle Toyota of North Augusta,SC
2024-03-23T00:00:00.000Z,2024,Limited 4x2,Wind Chill Pearl,67675,71524,0,67675,At dealer,False,Available,7SVAAAAA6RX003316,J. Allen Toyota,MS
2024-03-21T00:00:00.000Z,2024,Limited 4x2,Wind Chill Pearl,67675,73696,4490,72165,At dealer,False,DealerHold,7SVAAAAA6RX003333,Fred Haas Toyota World,TX
2024-04-02T00:00:00.000Z,2024,Limited 4x2,Blueprint,67675,73455,5085,72760,At dealer,False,Available,7SVAAAAA6RX003347,Fred Haas Toyota World,TX
2024-04-05T00:00:00.000Z,2024,Limited 4x2,Magnetic Gray Metallic,67675,73255,0,67675,Factory to port,True,DealerHold,7SVAAAAA6RX003350,North Park Toyota of San Antonio,TX
Unknown,2024,Limited 4x2,Wind Chill Pearl,67675,74180,1894,69569,Factory to port,False,DealerHold,7SVAAAAA6RX003364,Team Toyota,LA
2024-04-08T00:00:00.000Z,2024,Limited 4x2,Wind Chill Pearl,67675,73680,0,67675,Factory to port,False,Available,7SVAAAAA6RX003378,Palestine Toyota,TX
2024-04-20T00:00:00.000Z,2024,Platinum 4x2,Lunar Rock,73865,79796,0,73865,Factory to port,False,Available,7SVAAAAA6RX003381,LaGrange Toyota,GA
2024-05-20T00:00:00.000Z,2024,Platinum 4x2,Lunar Rock,73865,78268,0,73865,Factory to port,False,Available,7SVAAAAA6RX15E774,AutoNation Toyota Weston,FL
2023-12-31T00:00:00.000Z,2024,Platinum 4x2,Supersonic Red,73465,78267,0,73465,At dealer,False,,7SVAAAAA7RX002966,Mark Jacobson Toyota,NC
2024-03-30T00:00:00.000Z,2024,Limited 4x2,Magnetic Gray Metallic,67675,73755,0,67675,At dealer,False,Available,7SVAAAAA7RX003342,Fox Toyota of El Paso,TX
2024-04-17T00:00:00.000Z,2024,Platinum 4x2,Supersonic Red,73865,79051,0,73865,Factory to port,False,DealerHold,7SVAAAAA7RX003356,Gettel Toyota of Lakewood,FL
2024-04-23T00:00:00.000Z,2024,Platinum 4x2,Magnetic Gray Metallic,73865,78347,0,73865,Factory to port,False,Available,7SVAAAAA7RX003387,Toyota of Deerfield Beach,FL
2024-05-01T00:00:00.000Z,2024,Platinum 4x2,Magnetic Gray Metallic,73865,78746,0,73865,Factory to port,False,Available,7SVAAAAA7RX13C122,Toyota of Fort Walton Beach,FL
2024-05-01T00:00:00.000Z,2024,Platinum 4x2,Magnetic Gray Metallic,73865,78497,0,73865,Factory to port,False,Available,7SVAAAAA7RX14F386,Nalley Toyota of Roswell,GA
2024-05-12T00:00:00.000Z,2024,SR5 4x2,Ice Cap,61275,68633,0,61275,Factory to port,False,Available,7SVAAAAA7RX15G470,Keith Pierson Toyota,FL
2024-05-14T00:00:00.000Z,2024,Platinum 4x2,Midnight Black Metallic,73865,78476,0,73865,Factory to port,False,Available,7SVAAAAA7RX15G534,Courtesy Toyota,FL
2024-05-12T00:00:00.000Z,2024,Platinum 4x2,Magnetic Gray Metallic,73865,77719,0,73865,Factory to port,False,Available,7SVAAAAA7RX15H960,AutoNation Toyota Winter Park,FL
2024-02-15T00:00:00.000Z,2024,Limited 4x2,Smoked Mesquite,67675,71249,2895,70570,At dealer,False,Available,7SVAAAAA8RX003205,Jim Norton Toyota,OK
2024-04-02T00:00:00.000Z,2024,SR5 4x2,Lunar Rock,61275,70781,0,61275,At dealer,False,DealerHold,7SVAAAAA8RX003303,Greenville Toyota,NC
2024-04-02T00:00:00.000Z,2024,SR5 4x2,Ice Cap,61275,69261,0,61275,At dealer,False,DealerHold,7SVAAAAA8RX003320,DeLuca Toyota,FL
2024-04-13T00:00:00.000Z,2024,SR5 4x2,Celestial Silver Metallic,61275,69132,0,61275,Factory to port,False,Available,7SVAAAAA8RX003348,Toyota of Tampa Bay,FL
2024-04-17T00:00:00.000Z,2024,Platinum 4x2,Lunar Rock,73865,79215,3488,77353,Factory to port,False,Available,7SVAAAAA8RX003365,Scott Clark Toyota,NC
2024-04-24T00:00:00.000Z,2024,Limited 4x2,Celestial Silver Metallic,67675,73455,1599,69274,Factory to port,True,Available,7SVAAAAA8RX13A735,Silsbee Toyota,TX
2024-04-17T00:00:00.000Z,2024,Limited 4x2,Wind Chill Pearl,67675,74080,0,67675,Factory to port,False,Available,7SVAAAAA8RX13C162,Toyota of Cedar Park,TX
2024-01-14T00:00:00.000Z,2024,Capstone 4x2,Celestial Silver Metallic,77865,80845,0,77865,At dealer,False,Available,7SVAAAAA9RX003021,Toyota of Rock Hill,SC
2024-03-13,2024,Limited 4x2,Lunar Rock,67675,70822,0,67675,At dealer,False,,7SVAAAAA9RX003245,Chuck Hutton Toyota,TN
2024-03-11T00:00:00.000Z,2024,Platinum 4x2,Midnight Black Metallic,73865,80310,0,73865,At dealer,False,DealerHold,7SVAAAAA9RX003276,John Harvey Toyota,LA
2024-04-07T00:00:00.000Z,2024,Limited 4x2,Wind Chill Pearl,67675,73680,0,67675,Factory to port,True,DealerHold,7SVAAAAA9RX003374,North Park Toyota of San Antonio,TX
2024-04-29T00:00:00.000Z,2024,Limited 4x2,Wind Chill Pearl,67675,72493,0,67675,Factory to port,False,Available,7SVAAAAA9RX13C543,Bill Penney Toyota,AL
2024-05-01T00:00:00.000Z,2024,Limited 4x2,Wind Chill Pearl,67675,72892,0,67675,Factory to port,False,Available,7SVAAAAA9RX13D420,Panama City Toyota,FL
2024-05-07T00:00:00.000Z,2024,Platinum 4x2,Magnetic Gray Metallic,73865,79664,0,73865,Factory to port,False,Available,7SVAAAAA9RX14H396,Hendrick Toyota Concord,NC
2024-03-17T00:00:00.000Z,2024,SR5 4x2,Magnetic Gray Metallic,61275,68883,0,61275,At dealer,False,Available,7SVAAAAAXRX003271,Coggin Toyota at the Avenues,FL
2024-04-06T00:00:00.000Z,2024,SR5 4x2,Lunar Rock,61275,70831,0,61275,Port to dealer,False,Available,7SVAAAAAXRX003299,Clearwater Toyota,FL
2024-04-06T00:00:00.000Z,2024,Platinum 4x2,Wind Chill Pearl,73865,78922,0,73865,At dealer,False,Available,7SVAAAAAXRX003318,Bondy's Enterprise Toyota,AL
2024-03-29T00:00:00.000Z,2024,Limited 4x2,Magnetic Gray Metallic,67675,71249,0,67675,At dealer,False,Available,7SVAAAAAXRX003335,Lithia Toyota of Odessa,TX
2024-04-02T00:00:00.000Z,2024,Limited 4x2,Wind Chill Pearl,67675,71674,0,67675,Factory to port,True,Available,7SVAAAAAXRX003349,Bubba Oustalet Toyota,LA
