ETA,Year,Model,Color,Base MSRP,TSRP MSRP,Markup,Dealer Price,Shipping Status,Pre-Sold,Hold Status,VIN,Dealer,Dealer State
2024-09-10,2024,LE FWD,Ice Cap,37685,42195,0,37685,At dealer,True,DealerHold,5TDBRKEC0RS219483,I-10 Toyota,CA
2024-09-24T00:00:00.000Z,2024,LE FWD,Sunset Bronze Mica,37685,42075,0,37685,Port to dealer,False,Available,5TDBRKEC0RS219757,Mac Haik Toyota,TX
2024-10-15T00:00:00.000Z,2024,LE FWD,Predawn Gray Mica,37685,42467,1008,38693,Factory to port,False,Available,5TDBRKEC0RS38C591,Lake Charles Toyota,LA
2024-10-15,2024,LE FWD,Ice Cap,37685,42105,0,37685,Factory to port,False,DealerHold,5TDBRKEC0RS39D445,Ventura Toyota,CA
2024-10-29T00:00:00.000Z,2024,LE FWD,Ice Cap,37685,43540,2995,40680,Factory to port,False,Available,5TDBRKEC0RS40C399,Jim Norton Toyota of Oklahoma City,OK
2024-10-25,2024,LE FWD,Midnight Black Metallic,37685,42055,0,37685,Factory to port,False,,5TDBRKEC0RS40D102,Lynch Toyota,CT
2024-10-26,2024,LE FWD,Predawn Gray Mica,37685,41920,358,38043,Factory to port,False,DealerHold,5TDBRKEC0RS40D861,City Toyota,CA
2024-09-13T00:00:00.000Z,2024,LE FWD,Predawn Gray Mica,37685,41780,2595,40280,At dealer,True,Available,5TDBRKEC1RS219430,Cowboy Toyota,TX
2024-12-05,2024,LE FWD,Predawn Gray Mica,37685,41920,0,37685,Port to dealer,True,Available,5TDBRKEC1RS219749,Bill Kidd's Timonium Toyota,MD
2024-10-16,2024,LE FWD,Ice Cap,37685,43109,0,37685,Factory to port,False,,5TDBRKEC1RS39D227,Dublin Toyota,CA
2024-10-27,2024,LE FWD,Ice Cap,37685,42170,1295,38980,Factory to port,True,DealerHold,5TDBRKEC1RS40C766,Auburn Toyota,CA
2024-10-22,2024,LE FWD,Celestial Silver Metallic,37685,42490,1390,39075,Factory to port,False,,5TDBRKEC1RS40D027,Toyota of Redlands,CA
2024-10-28,2024,LE FWD,Ice Cap,37685,42454,3568,41253,Factory to port,False,,5TDBRKEC1RS40D299,Bell Road Toyota,AZ
2024-10-27,2024,LE FWD,Cypress,37685,41770,0,37685,Factory to port,False,,5TDBRKEC1RS40D917,Hillside Toyota,NY
Unknown,2024,LE FWD,Ice Cap,37685,41770,358,38043,At dealer,False,DealerHold,5TDBRKEC2RS218190,City Toyota,CA
2024-09-18T00:00:00.000Z,2024,LE FWD,Ice Cap,37685,43181,0,37685,Port to dealer,False,DealerHold,5TDBRKEC2RS219081,North Park Toyota of San Antonio,TX
2024-09-25,2024,LE FWD,Predawn Gray Mica,37685,42470,2494,40179,Port to dealer,True,DealerHold,5TDBRKEC2RS220635,Envision Toyota of West Covina,CA
2024-10-09,2024,LE FWD,Predawn Gray Mica,37685,42055,1997,39682,Factory to port,True,DealerHold,5TDBRKEC2RS38C866,Valley Hi Toyota,CA
2024-10-27T00:00:00.000Z,2024,LE FWD,Ruby Flare Pearl,37685,43566,5997,43682,Factory to port,False,Available,5TDBRKEC2RS39E502,San Marcos Toyota,TX
Unknown,2024,LE FWD,Ice Cap,37685,41770,0,37685,Factory to port,True,DealerHold,5TDBRKEC2RS40C520,Battlefield Toyota,VA
