ETA,Year,Model,Color,Base MSRP,TSRP MSRP,Markup,Dealer Price,Shipping Status,Pre-Sold,Hold Status,VIN,Dealer,Dealer State
2024-08-21,2023,SR5 4x2,Ice Cap,34980,37011,0,34980,Port to dealer,True,DealerHold,3TMAZ5CN4PM217699,Kendall Toyota of Bend,OR
2023-07-11T00:00:00.000Z,2023,SR 4x4,Ice Cap,34515,35923,0,34515,At dealer,False,Available,3TMCZ5AN1PM593725,Toyota of Easley,SC
2023-12-05,2023,TRD Off-Road 4x4,Ice Cap,39755,45730,8516,48271,At dealer,False,DealerHold,3TMCZ5AN5PM654946,Toyota of Portland on Broadway,OR
2024-08-12,2023,TRD Off-Road 4x4,Ice Cap,39755,44767,0,39755,Port to dealer,True,DealerHold,3TMCZ5AN6PM645222,Toyota of Gladstone,OR
2024-08-11,2023,TRD Off-Road 4x4,Ice Cap,40365,44942,0,40365,Port to dealer,False,DealerHold,3TMDZ5BNXPM166529,Ron Tonkin Toyota,OR
2024-08-11,2023,Limited 4x4,Black,44930,47462,0,44930,Port to dealer,False,DealerHold,3TMHZ5BN2PM166395,Capitol Toyota of Salem,OR
2024-04-28T00:00:00.000Z,2024,SR5 4x2,Celestial Silver Metallic,37200,43622,0,37200,At dealer,False,Available,3TMKB5FN0RM000870,Hendrick Toyota North Charleston,SC
2024-04-30T00:00:00.000Z,2024,TRD Sport 2WD,Blue Crush Metallic,39400,50814,0,39400,At dealer,False,Available,3TMKB5FN0RM000979,Bondy's Enterprise Toyota,AL
2024-05-08,2024,SR5 4x2,Ice Cap,37200,39589,0,37200,At dealer,False,,3TMKB5FN0RM001159,Toyota of Puyallup,WA
2024-05-28T00:00:00.000Z,2024,SR5 4x2,Celestial Silver Metallic,37200,42202,0,37200,At dealer,False,Available,3TMKB5FN0RM002120,AutoNation Toyota South Austin,TX
2024-05-27T00:00:00.000Z,2024,SR5 4x2,Celestial Silver Metallic,37200,43855,0,37200,At dealer,False,Available,3TMKB5FN0RM002148,Scott Clark Toyota,NC
2024-07-26T00:00:00.000Z,2024,TRD Sport 2WD,Celestial Silver Metallic,39400,43682,0,39400,Factory to port,False,Available,3TMKB5FN0RM002201,Classic Toyota,TX
2024-05-08,2024,TRD Sport 2WD,Celestial Silver Metallic,39400,43682,798,40198,At dealer,False,Available,3TMKB5FN0RM002280,Toyota of Irving,TX
2024-05-27T00:00:00.000Z,2024,SR5 4x2,Celestial Silver Metallic,37200,44314,0,37200,At dealer,False,Available,3TMKB5FN0RM002408,Bob Tyler Toyota,FL
2024-06-01T00:00:00.000Z,2024,SR5 4x2,Celestial Silver Metallic,37200,44590,0,37200,At dealer,False,Available,3TMKB5FN0RM002974,Miracle Toyota of North Augusta,SC
2024-05-28,2024,SR5 4x2,Ice Cap,37200,39589,0,37200,At dealer,False,,3TMKB5FN0RM003042,Toyota of Gladstone,OR
2024-06-06T00:00:00.000Z,2024,TRD Sport 2WD,Ice Cap,39400,50475,0,39400,At dealer,False,Available,3TMKB5FN0RM003073,Scott Clark Toyota,NC
2024-07-23T00:00:00.000Z,2024,TRD Sport 2WD,Black,39400,43682,0,39400,At dealer,False,Available,3TMKB5FN0RM003123,AutoNation Toyota Corpus Christi,TX
2024-06-02T00:00:00.000Z,2024,SR5 4x2,Ice Cap,37200,42987,1295,38495,At dealer,False,Available,3TMKB5FN0RM003199,Toyota of Gastonia,NC
2024-05-13,2024,TRD Sport 2WD,Ice Cap,39400,47199,0,39400,At dealer,False,,3TMKB5FN0RM003509,Toyota Carlsbad,CA
