ETA,Year,Model,Color,Base MSRP,TSRP MSRP,Markup,Dealer Price,Shipping Status,Pre-Sold,Hold Status,VIN,Dealer,Dealer State
2024-06-14T00:00:00.000Z,2024,Tacoma TRD Sport 4WD,UNDERGROUND,46300,55612,0,46300,Factory to port,False,Available,3TYLC5LN0RT000295,Yokem Toyota,LA
2024-06-21,2024,Tacoma TRD Pro 4x4,UNDERGROUND W/ BLACK ROOF*,63900,66624,0,63900,Factory to port,True,DealerHold,3TYLC5LN0RT000345,Mountain States Toyota,CO
Unknown,2024,Tacoma TRD Pro 4x4,Black,63900,66280,0,63900,Factory to port,False,DealerHold,3TYLC5LN0RT000359,Stone's Town and Country Toyota,ID
Unknown,2024,Tacoma TRD Pro 4x4,TERRA W/ BLACK ROOF*,63900,66574,0,63900,Factory to port,True,DealerHold,3TYLC5LN0RT000362,Toyota of Puyallup,WA
Unknown,2024,Tacoma TRD Pro 4x4,ICE CAP W/ BLACK ROOF*,63900,67248,0,63900,Factory to port,False,,3TYLC5LN0RT000507,Hillside Toyota,NY
Unknown,2024,Tacoma TRD Pro 4x4,ICE CAP W/ BLACK ROOF*,63900,66129,0,63900,Factory to port,False,DealerHold,3TYLC5LN0RT000586,Marysville Toyota,WA
2024-07-01,2024,Tacoma TRD Pro 4x4,UNDERGROUND W/ BLACK ROOF*,63900,65835,0,63900,Factory to port,False,DealerHold,3TYLC5LN0RT000670,Toyota Direct,OH
Unknown,2024,Tacoma TRD Pro 4x4,ICE CAP W/ BLACK ROOF*,63900,65610,495,64395,Factory to port,False,,3TYLC5LN0RT000748,Waldorf Toyota,MD
2024-06-20T00:00:00.000Z,2024,Tacoma TRD Off-Road 4WD,BLACK,46600,49284,0,46600,Factory to port,False,DealerHold,3TYLC5LN0RT000863,Family Toyota of Burleson,TX
2024-06-30,2024,Tacoma TRD Pro 4x4,UNDERGROUND W/ BLACK ROOF*,63900,65799,0,63900,Factory to port,True,,3TYLC5LN0RT000927,Toyota of Boardman,OH
2024-06-20T00:00:00.000Z,2024,Tacoma TRD Off-Road 4WD,UNDERGROUND,46600,50736,0,46600,Factory to port,True,DealerHold,3TYLC5LN0RT000958,Sterling McCall Toyota Fort Bend,TX
Unknown,2024,Tacoma TRD Sport 4WD,UNDERGROUND,46300,55224,0,46300,Factory to port,True,DealerHold,3TYLC5LN0RT000992,Toyota of Glendora,CA
Unknown,2024,Tacoma TRD Pro 4x4,TERRA W/ BLACK ROOF*,63900,66574,0,63900,Factory to port,True,Available,3TYLC5LN0RT001009,Doxon Toyota,WA
2024-06-20T00:00:00.000Z,2024,Tacoma Limited 4WD,CELESTIAL SILVER METALLIC,55800,58417,0,55800,Factory to port,False,Available,3TYLC5LN0RT001012,Don McGill Toyota of Katy,TX
Unknown,2024,Tacoma Limited 4WD,WIND CHILL PEARL*,55800,58384,0,55800,Factory to port,False,DealerHold,3TYLC5LN0RT001026,Jimmy Vasser Toyota,CA
Unknown,2024,Tacoma TRD Off-Road 4WD,ICE CAP,46600,54055,0,46600,Factory to port,False,,3TYLC5LN0RT001060,Downtown Toyota of Oakland,CA
Unknown,2024,Tacoma TRD Pro 4x4,TERRA W/ BLACK ROOF*,63900,65455,0,63900,Factory to port,False,DealerHold,3TYLC5LN0RT001107,Gresham Toyota,OR
Unknown,2024,Tacoma TRD Sport 4WD,BLACK,46300,58139,0,46300,Factory to port,False,Available,3TYLC5LN0RT001141,Romeo Toyota of Glens Falls,NY
Unknown,2024,Tacoma TRD Pro 4x4,ICE CAP W/ BLACK ROOF*,63900,66005,0,63900,Factory to port,False,DealerHold,3TYLC5LN0RT001267,Expressway Toyota,MA
Unknown,2024,Tacoma TRD Sport 4WD,UNDERGROUND,46300,53160,0,46300,Factory to port,False,Available,3TYLC5LN0RT001303,Magnussen's Toyota of Palo Alto,CA
Unknown,2024,Tacoma TRD Pro 4x4,UNDERGROUND W/ BLACK ROOF*,63900,68627,0,63900,Factory to port,True,DealerHold,3TYLC5LN0RT001379,Hamer Toyota,CA
Unknown,2024,Tacoma TRD Pro 4x4,UNDERGROUND W/ BLACK ROOF*,63900,67839,0,63900,Factory to port,True,,3TYLC5LN0RT001382,Rogers Toyota,ID
2024-06-18T00:00:00.000Z,2024,Tacoma TRD Sport 4WD,CELESTIAL SILVER METALLIC,46300,54972,0,46300,Factory to port,False,Available,3TYLC5LN0RT001396,Fowler Toyota,OK
Unknown,2024,Tacoma TRD Off-Road 4WD,BLACK,46600,57995,0,46600,Factory to port,True,DealerHold,3TYLC5LN0RT001432,Performance Toyota Bountiful,UT
Unknown,2024,Tacoma TRD Sport 4WD,WIND CHILL PEARL*,46300,55714,0,46300,Factory to port,False,Available,3TYLC5LN0RT001480,Krause Toyota,PA
2024-07-12,2024,Tacoma TRD Off-Road 4WD,UNDERGROUND,46600,58819,0,46600,Factory to port,False,,3TYLC5LN0RT001558,Walser Bloomington Toyota,MN
2024-06-22T00:00:00.000Z,2024,Tacoma TRD Off-Road 4WD,CELESTIAL SILVER METALLIC,46600,50936,0,46600,Factory to port,False,Available,3TYLC5LN0RT001589,Round Rock Toyota,TX
