ETA,Year,Model,Color,Base MSRP,TSRP MSRP,Markup,Dealer Price,Shipping Status,Pre-Sold,Hold Status,VIN,Dealer,Dealer State
2024-01-20T00:00:00.000Z,2024,Limited 4x2,Celestial Silver Metallic,53905,62136,799,54704,At dealer,False,Available,5TFJA5AB0RX033020,Landers Toyota NWA,AR
2024-03-19T00:00:00.000Z,2024,Limited 4x2,Lunar Rock,53905,62390,0,53905,At dealer,False,Available,5TFJA5AB0RX034099,Toyota of Tampa Bay,FL
2024-04-11T00:00:00.000Z,2024,Limited 4x2,Ice Cap,53905,62344,0,53905,At dealer,False,Available,5TFJA5AB0RX034751,Ed Morse Delray Toyota,FL
2024-04-16T00:00:00.000Z,2024,Limited 4x2,Lunar Rock,53905,63344,0,53905,At dealer,False,Available,5TFJA5AB0RX035396,Germain Toyota of Naples,FL
2024-04-08T00:00:00.000Z,2024,Limited 4x2,Ice Cap,53905,63106,0,53905,At dealer,False,DealerHold,5TFJA5AB0RX035589,Bryan College Station Toyota,TX
2024-04-08T00:00:00.000Z,2024,Limited 4x2,Midnight Black Metallic,53905,63106,0,53905,At dealer,False,Available,5TFJA5AB0RX035768,Mike Calvert Toyota,TX
2024-04-25T00:00:00.000Z,2024,Limited 4x2,Magnetic Gray Metallic,53905,61432,0,53905,At dealer,False,Available,5TFJA5AB0RX035866,Springhill Toyota,AL
2024-04-10T00:00:00.000Z,2024,Limited 4x2,Celestial Silver Metallic,53905,62312,1495,55400,At dealer,False,Available,5TFJA5AB0RX035978,Sterling McCall Toyota,TX
2024-04-22T00:00:00.000Z,2024,Limited 4x2,Lunar Rock,53905,62390,0,53905,At dealer,False,Available,5TFJA5AB0RX036001,Toyota of Tampa Bay,FL
2024-04-24T00:00:00.000Z,2024,Limited 4x2,Ice Cap,53905,62134,0,53905,At dealer,False,Available,5TFJA5AB0RX036211,DeLuca Toyota,FL
2024-04-11T00:00:00.000Z,2024,Limited 4x2,Magnetic Gray Metallic,53905,63017,0,53905,At dealer,False,Available,5TFJA5AB0RX036757,Universal Toyota,TX
2024-05-06T00:00:00.000Z,2024,Limited 4x2,Midnight Black Metallic,53905,63043,0,53905,At dealer,False,,5TFJA5AB0RX037133,Palmer's Airport Toyota,AL
2024-05-12T00:00:00.000Z,2024,Limited 4x2,Smoked Mesquite,53905,61133,0,53905,Factory to port,False,Available,5TFJA5AB0RX037293,Palmer's Airport Toyota,AL
2024-06-03T00:00:00.000Z,2024,Limited 4x2,Lunar Rock,53905,62390,0,53905,Factory to port,False,Available,5TFJA5AB0RX037701,Toyota of Tampa Bay,FL
2024-06-18T00:00:00.000Z,2024,Limited 4x2,Magnetic Gray Metallic,53905,60978,0,53905,Factory to port,False,Available,5TFJA5AB0RX19A034,Toyota of Clermont,FL
2024-04-09T00:00:00.000Z,2024,Limited 4x2,Celestial Silver Metallic,53905,61791,0,53905,At dealer,False,Available,5TFJA5AB1RX034872,Walker-Jones Toyota,GA
2024-04-04T00:00:00.000Z,2024,Limited 4x2,Magnetic Gray Metallic,53905,62911,799,54704,At dealer,False,Available,5TFJA5AB1RX035326,Toyota of Killeen,TX
