ETA,Year,Model,Color,Base MSRP,TSRP MSRP,Markup,Dealer Price,Shipping Status,Pre-Sold,Hold Status,VIN,Dealer,Dealer State
2023-11-11T00:00:00.000Z,2024,Tundra Limited 4x2,Midnight Black Metallic,57625,68677,0,57625,L,False,Available,5TFJC5AB0RX002957,Toyota of Hollywood,FL
2023-09-26T00:00:00.000Z,2024,Tundra Limited 4x2,Magnetic Gray Metallic,57625,64295,1295,58920,At dealer,False,Available,5TFJC5AB0RX002974,Fred Haas Toyota Country,TX
2023-11-10T00:00:00.000Z,2024,Tundra Limited 4x2,Ice Cap,57625,65809,0,57625,At dealer,False,Available,5TFJC5AB0RX003073,North Park Toyota of San Antonio,TX
2023-12-06T00:00:00.000Z,2024,Tundra Limited 4x2,Celestial Silver Metallic,57625,64904,0,57625,At dealer,False,Available,5TFJC5AB0RX003316,Toyota of Midland,TX
2023-12-17T00:00:00.000Z,2024,Tundra Limited 4x2,Wind Chill Pearl,57625,67100,0,57625,At dealer,False,Available,5TFJC5AB0RX003347,Vic Vaughan Toyota of Boerne,TX
2023-12-25T00:00:00.000Z,2024,Tundra Limited 4x2,Magnetic Gray Metallic,57625,67563,0,57625,At dealer,False,Available,5TFJC5AB0RX003395,Fred Haas Toyota World,TX
2023-12-29T00:00:00.000Z,2024,Tundra Limited 4x2,Smoked Mesquite,57625,66904,1495,59120,At dealer,False,Available,5TFJC5AB0RX003462,Cavender Toyota,TX
2023-12-31T00:00:00.000Z,2024,Tundra Limited 4x2,Magnetic Gray Metallic,57625,66555,0,57625,At dealer,False,Available,5TFJC5AB0RX003512,Huntsville Toyota,TX
2024-01-24T00:00:00.000Z,2024,Tundra Limited 4x2,Smoked Mesquite,57625,64904,0,57625,At dealer,False,Available,5TFJC5AB0RX003543,Southern 441 Toyota,FL
2024-03-20T00:00:00.000Z,2024,Tundra Limited 4x2,Lunar Rock,57625,63176,0,57625,At dealer,False,Available,5TFJC5AB0RX003705,Hendrick Toyota North Charleston,SC
2024-05-20T00:00:00.000Z,2024,Tundra Limited 4x2,Lunar Rock,57625,63176,0,57625,Factory to port,False,,5TFJC5AB0RX15H111,Stokes Toyota Hilton Head,SC
2024-05-18T00:00:00.000Z,2024,Tundra Limited 4x2,Blueprint,57625,63814,0,57625,Factory to port,False,,5TFJC5AB0RX15I579,Griffin Toyota,NC
2024-06-01T00:00:00.000Z,2024,Tundra Limited 4x2,Celestial Silver Metallic,57625,62887,0,57625,Factory to port,False,,5TFJC5AB0RX17H682,Toyota of Vero Beach,FL
2023-11-29T00:00:00.000Z,2024,Tundra Limited 4x2,Midnight Black Metallic,57625,62776,0,57625,At dealer,False,Available,5TFJC5AB1RX003079,AutoNation Toyota Pinellas Park,FL
2023-11-15T00:00:00.000Z,2024,Tundra Limited 4x2,Smoked Mesquite,57625,65898,0,57625,At dealer,False,Available,5TFJC5AB1RX003096,Toyota of Cedar Park,TX
2023-12-20T00:00:00.000Z,2024,Tundra Limited 4x2,Smoked Mesquite,57625,67274,1895,59520,At dealer,False,Available,5TFJC5AB1RX003339,Don McGill Toyota,TX
2024-03-28T00:00:00.000Z,2024,Tundra Limited 4x2,Magnetic Gray Metallic,57625,67533,0,57625,At dealer,False,Available,5TFJC5AB1RX003728,Nalley Toyota of Roswell,GA
2024-04-03T00:00:00.000Z,2024,Tundra Limited 4x2,Magnetic Gray Metallic,57625,65444,0,57625,At dealer,False,Available,5TFJC5AB1RX003745,Gettel Toyota of Lakewood,FL
2024-05-19T00:00:00.000Z,2024,Tundra Limited 4x2,Ice Cap,57625,63687,0,57625,Factory to port,False,,5TFJC5AB1RX15I574,Lakeland Toyota,FL
2023-10-22T00:00:00.000Z,2024,Tundra Limited 4x2,Wind Chill Pearl,57625,66526,0,57625,At dealer,False,Available,5TFJC5AB2RX003060,Toyota of Richardson,TX
2023-11-24T00:00:00.000Z,2024,Tundra Limited 4x2,Midnight Black Metallic,57625,65299,0,57625,At dealer,False,Available,5TFJC5AB2RX003172,Toyota of Cedar Park,TX
2023-11-26T00:00:00.000Z,2024,Tundra Limited 4x2,Ice Cap,57625,67374,1495,59120,At dealer,False,Available,5TFJC5AB2RX003186,Cavender Toyota,TX
2023-12-12T00:00:00.000Z,2024,Tundra Limited 4x2,Midnight Black Metallic,57625,65807,0,57625,At dealer,False,Available,5TFJC5AB2RX003205,Arlington Toyota,FL
2023-12-03T00:00:00.000Z,2024,Tundra Limited 4x2,Supersonic Red,57625,66234,0,57625,At dealer,False,Available,5TFJC5AB2RX003219,Lone Star Toyota of Lewisville,TX
2023-12-03T00:00:00.000Z,2024,Tundra Limited 4x2,Wind Chill Pearl,57625,68194,0,57625,At dealer,False,Available,5TFJC5AB2RX003222,Mike Calvert Toyota,TX
2023-12-22T00:00:00.000Z,2024,Tundra Limited 4x2,Blueprint,57625,65414,0,57625,At dealer,False,Available,5TFJC5AB2RX003348,Fred Haas Toyota World,TX
2023-12-20T00:00:00.000Z,2024,Tundra Limited 4x2,Magnetic Gray Metallic,57625,64815,0,57625,At dealer,False,Available,5TFJC5AB2RX003365,Toyota of Dallas,TX
2023-12-23T00:00:00.000Z,2024,Tundra Limited 4x2,Blueprint,57625,66176,0,57625,At dealer,False,Available,5TFJC5AB2RX003379,Family Toyota of Burleson,TX
2023-12-23T00:00:00.000Z,2024,Tundra Limited 4x2,Smoked Mesquite,57625,66875,0,57625,At dealer,False,Available,5TFJC5AB2RX003382,Vic Vaughan Toyota of Boerne,TX
2023-12-29T00:00:00.000Z,2024,Tundra Limited 4x2,Magnetic Gray Metallic,57625,64844,1795,59420,At dealer,False,Available,5TFJC5AB2RX003463,Universal Toyota,TX
2024-01-01T00:00:00.000Z,2024,Tundra Limited 4x2,Wind Chill Pearl,57625,68017,1895,59520,At dealer,False,DealerHold,5TFJC5AB2RX003477,Don McGill Toyota,TX
2023-12-31T00:00:00.000Z,2024,Tundra Limited 4x2,Smoked Mesquite,57625,65603,0,57625,At dealer,False,Available,5TFJC5AB2RX003480,Lone Star Toyota of Lewisville,TX
2024-04-02T00:00:00.000Z,2024,Tundra Limited 4x2,Supersonic Red,57625,65278,0,57625,At dealer,False,Available,5TFJC5AB2RX003754,Butler Toyota,GA
2024-05-12T00:00:00.000Z,2024,Tundra Limited 4x2,Lunar Rock,57625,63995,0,57625,Factory to port,False,Available,5TFJC5AB2RX14G224,Peter Boulware Toyota,FL
2023-11-17T00:00:00.000Z,2024,Tundra Limited 4x2,Magnetic Gray Metallic,57625,66989,0,57625,At dealer,False,Available,5TFJC5AB3RX003052,San Marcos Toyota,TX
2023-12-16T00:00:00.000Z,2024,Tundra Limited 4x2,Smoked Mesquite,57625,65809,0,57625,At dealer,False,Available,5TFJC5AB3RX003102,Toyota of Dallas,TX
2023-12-01T00:00:00.000Z,2024,Tundra Limited 4x2,Midnight Black Metallic,57625,67663,0,57625,At dealer,False,Available,5TFJC5AB3RX003200,Toyota of Cedar Park,TX
2023-12-03T00:00:00.000Z,2024,Tundra Limited 4x2,Smoked Mesquite,57625,65299,0,57625,At dealer,False,Available,5TFJC5AB3RX003228,Vandergriff Toyota,TX
2023-12-24T00:00:00.000Z,2024,Tundra Limited 4x2,Supersonic Red,57625,66304,0,57625,At dealer,False,Available,5TFJC5AB3RX003259,Milton Ruben Toyota of Augusta,GA
2023-12-11T00:00:00.000Z,2024,Tundra Limited 4x2,Supersonic Red,57625,66323,0,57625,At dealer,False,Available,5TFJC5AB3RX003262,Family Toyota of Burleson,TX
2023-12-10T00:00:00.000Z,2024,Tundra Limited 4x2,Supersonic Red,57625,66234,0,57625,At dealer,False,Available,5TFJC5AB3RX003276,Toyota of Dallas,TX
2023-12-14T00:00:00.000Z,2024,Tundra Limited 4x2,Magnetic Gray Metallic,57625,65010,1495,59120,At dealer,False,Available,5TFJC5AB3RX003293,Cavender Toyota,TX
